PLT,Model,RMSE,MAE,MAPE
PLT Hybrid,"ARIMA(1, 1, 1)",0.04197645819868354,0.029192292520321822,11.91519360174316
PLT Hybrid,LSTM_FineTuning,0.0291635932126204,0.0246629665606009,11.322603084146516
PLT Hybrid,Naive_Persistence,0.03240763848183307,0.02964776125,13.448393001474182
PLTA,"ARIMA(1, 1, 1)",7.668946285977571,5.759185191173067,21.57004802533735
PLTA,LSTM_FineTuning,3.2773217338334777,2.51038807200236,8.695805162804653
PLTA,Naive_Persistence,4.754102264983124,4.17922281,12.966399808905082
PLTB,"ARIMA(1, 1, 1)",12.709630126515135,10.637640067684066,18.885841209782242
PLTB,LSTM_FineTuning,13.045680990954162,11.032003578798829,23.01981110888005
PLTB,Naive_Persistence,12.74245191025844,10.571084276666669,20.50152968987318
PLTM,"ARIMA(1, 1, 1)",7.607593711255181,5.769375899173716,23.77468649797762
PLTM,LSTM_FineTuning,3.518389551630758,2.916903291938478,11.160290206464197
PLTM,Naive_Persistence,4.136217334348771,3.733102960833334,12.725162264979486
PLTMH,"ARIMA(1, 1, 1)",5.86808367611529,4.858175445213381,34.44727366782389
PLTMH,LSTM_FineTuning,2.0530727795275614,1.851469931641846,11.277297430845094
PLTMH,Naive_Persistence,2.6029126765413597,2.2584884733333337,13.507886080840969
PLTS,"ARIMA(1, 1, 1)",0.2635027778662078,0.22338567064992976,22.904033427412752
PLTS,LSTM_FineTuning,0.1258048540282752,0.1037906375806605,12.133144995621452
PLTS,Naive_Persistence,0.11531559330961101,0.09483566600000004,10.535971783303498
PLTS Atap,"ARIMA(1, 1, 1)",0.16539119743994235,0.1429919617057896,14.447201379967591
PLTS Atap,LSTM_FineTuning,0.2917947490522857,0.2463536233765208,27.004380144900946
PLTS Atap,Naive_Persistence,0.13789910911824538,0.11558481575,11.59409282419437
