Varian,Window,LR,Dropout,RMSE_WalkForward,Jumlah_Lipatan
A,3,0.001,0.2,12.47640967594844,4
A,3,0.0001,0.2,13.257910876476267,4
A,6,0.001,0.2,31.311648155045788,4
A,6,0.0001,0.2,30.709895467826815,4
B,3,0.001,0.2,4.070583470924851,4
B,3,0.0001,0.2,11.969917302847808,4
B,6,0.001,0.2,19.46719956151999,4
B,6,0.0001,0.2,27.57516009526091,4
C,3,0.001,0.2,11.313182182257059,4
C,3,0.0001,0.2,12.913903376255877,4
C,6,0.001,0.2,25.96177084707511,4
C,6,0.0001,0.2,23.455511554633954,4
D,3,0.001,0.2,8.206081017134764,4
D,3,0.0001,0.2,14.95814652032848,4
D,6,0.001,0.2,22.871263397255824,4
D,6,0.0001,0.2,22.26084090779035,4
