Varian,Window,LR,Kategori,RMSE_WalkForward
A,3,0.001,PLTA,30.312826740901478
A,3,0.001,PLTB,10.411006893756577
A,3,0.001,PLTM,5.64288866968397
A,3,0.001,PLTS,0.2083097873936884
A,3,0.001,PLTS Atap,0.2433034380550709
A,3,0.0001,PLTA,42.59639417428706
A,3,0.0001,PLTB,13.139009305855685
A,3,0.0001,PLTM,5.169688573882745
A,3,0.0001,PLTS,0.13842338363301468
A,3,0.0001,PLTS Atap,0.19436362278434954
A,6,0.001,PLTA,75.13499003645
A,6,0.001,PLTB,13.406770712629463
A,6,0.001,PLTM,7.055536915809757
A,6,0.001,PLTS,0.22356384087291
A,6,0.001,PLTS Atap,0.2721027568302021
A,6,0.0001,PLTA,70.19831556039054
A,6,0.0001,PLTB,14.027225515879016
A,6,0.0001,PLTM,6.517255984256677
A,6,0.0001,PLTS,0.17791616770877694
A,6,0.0001,PLTS Atap,0.29678074839812935
B,3,0.001,PLTA,7.555365693078302
B,3,0.001,PLTB,6.497348708735889
B,3,0.001,PLTM,5.10690608879752
B,3,0.001,PLTS,0.1781244311286034
B,3,0.001,PLTS Atap,0.2005095966820529
B,3,0.0001,PLTA,31.875046325528725
B,3,0.0001,PLTB,11.900636466775554
B,3,0.0001,PLTM,5.1019891191214874
B,3,0.0001,PLTS,0.10467016840692099
B,3,0.0001,PLTS Atap,0.10627287496028588
B,6,0.001,PLTA,63.46879830441931
B,6,0.001,PLTB,5.600445802714915
B,6,0.001,PLTM,6.077053235390772
B,6,0.001,PLTS,0.22024102128147174
B,6,0.001,PLTS Atap,0.24683025564268476
B,6,0.0001,PLTA,67.0270927908568
B,6,0.0001,PLTB,11.473834264363859
B,6,0.0001,PLTM,6.140231156599326
B,6,0.0001,PLTS,0.020809299078230717
B,6,0.0001,PLTS Atap,0.07824128141293467
C,3,0.001,PLTA,29.936232518332375
C,3,0.001,PLTB,6.758019389080753
C,3,0.001,PLTM,6.1794742896322035
C,3,0.001,PLTS,0.014745337935729049
C,3,0.001,PLTS Atap,0.016356519150293635
C,3,0.0001,PLTA,32.86477429188712
C,3,0.0001,PLTB,9.033073622130658
C,3,0.0001,PLTM,5.949851107867065
C,3,0.0001,PLTS,0.11360913772860443
C,3,0.0001,PLTS Atap,0.057981249210219646
C,6,0.001,PLTA,68.69241426428181
C,6,0.001,PLTB,8.23359726777965
C,6,0.001,PLTM,6.395434501259866
C,6,0.001,PLTS,0.06565918958210884
C,6,0.001,PLTS Atap,0.09104442991722077
C,6,0.0001,PLTA,62.39270145110543
C,6,0.0001,PLTB,10.809644090916983
C,6,0.0001,PLTM,5.767317652174385
C,6,0.0001,PLTS,0.055474174268941225
C,6,0.0001,PLTS Atap,0.13690089946367517
D,3,0.001,PLTA,17.20839732764702
D,3,0.001,PLTB,8.478843039133299
D,3,0.001,PLTM,5.3224291165443445
D,3,0.001,PLTS,0.08622415772170527
D,3,0.001,PLTS Atap,0.11632457552179973
D,3,0.0001,PLTA,40.95859309550517
D,3,0.0001,PLTB,7.375096026404289
D,3,0.0001,PLTM,5.911373611663085
D,3,0.0001,PLTS,0.06442872919564253
D,3,0.0001,PLTS Atap,0.02036156380129409
D,6,0.001,PLTA,63.3783612540721
D,6,0.001,PLTB,10.283931819958138
D,6,0.001,PLTM,5.919795323951215
D,6,0.001,PLTS,0.04132967406840362
D,6,0.001,PLTS Atap,0.06519771456851174
D,6,0.0001,PLTA,56.225647432659265
D,6,0.0001,PLTB,8.682616865605164
D,6,0.0001,PLTM,5.167095982474797
D,6,0.0001,PLTS,0.06817034710120991
D,6,0.0001,PLTS Atap,0.137809373820207
E,3,0.001,PLTA,30.126209511238365
E,3,0.001,PLTB,6.586497227909465
E,3,0.001,PLTM,5.9106442451914445
E,3,0.001,PLTS,0.01907532233577216
E,3,0.001,PLTS Atap,0.03848020448506555
E,3,0.0001,PLTA,35.83154878246775
E,3,0.0001,PLTB,9.040625023246152
E,3,0.0001,PLTM,6.02053666347454
E,3,0.0001,PLTS,0.0828164815254696
E,3,0.0001,PLTS Atap,0.04955901939461479
E,6,0.001,PLTA,71.22246968906882
E,6,0.001,PLTB,7.2348198394849925
E,6,0.001,PLTM,6.609882365806031
E,6,0.001,PLTS,0.01945159416072117
E,6,0.001,PLTS Atap,0.030507633100851705
E,6,0.0001,PLTA,65.27103510422336
E,6,0.0001,PLTB,11.470132644050857
E,6,0.0001,PLTM,6.0103741085332665
E,6,0.0001,PLTS,0.0448105656669547
E,6,0.0001,PLTS Atap,0.1213579922572
F,3,0.001,PLTA,24.252518352315217
F,3,0.001,PLTB,8.062586992512127
F,3,0.001,PLTM,5.342366756377706
F,3,0.001,PLTS,0.1267384292398076
F,3,0.001,PLTS Atap,0.13847130401310664
F,3,0.0001,PLTA,41.26215899441199
F,3,0.0001,PLTB,7.1170387721243245
F,3,0.0001,PLTM,5.921411732723117
F,3,0.0001,PLTS,0.07119310565113529
F,3,0.0001,PLTS Atap,0.05846861311557457
F,6,0.001,PLTA,59.92049135284999
F,6,0.001,PLTB,8.415640454357716
F,6,0.001,PLTM,5.634791508697749
F,6,0.001,PLTS,0.113988039824134
F,6,0.001,PLTS Atap,0.1292825148579789
F,6,0.0001,PLTA,61.970005337262954
F,6,0.0001,PLTB,7.358193974005065
F,6,0.0001,PLTM,5.575501487704924
F,6,0.0001,PLTS,0.03780901987264662
F,6,0.0001,PLTS Atap,0.07593053440532588
