Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.21376833
2026-02-01,2026,2,PLT Hybrid,0.2149261
2026-03-01,2026,3,PLT Hybrid,0.21668196
2026-04-01,2026,4,PLT Hybrid,0.21888919
2026-05-01,2026,5,PLT Hybrid,0.22148822
2026-06-01,2026,6,PLT Hybrid,0.22223458
2026-07-01,2026,7,PLT Hybrid,0.22422406
2026-08-01,2026,8,PLT Hybrid,0.22369121
2026-09-01,2026,9,PLT Hybrid,0.21994562
2026-10-01,2026,10,PLT Hybrid,0.21486604
2026-11-01,2026,11,PLT Hybrid,0.21252301
2026-12-01,2026,12,PLT Hybrid,0.21361832
2027-01-01,2027,1,PLT Hybrid,0.21574868
2027-02-01,2027,2,PLT Hybrid,0.21573862
2027-03-01,2027,3,PLT Hybrid,0.21568377
2027-04-01,2027,4,PLT Hybrid,0.21557496
2027-05-01,2027,5,PLT Hybrid,0.21540624
2027-06-01,2027,6,PLT Hybrid,0.21517292
2027-07-01,2027,7,PLT Hybrid,0.21492936
2027-08-01,2027,8,PLT Hybrid,0.21464379
2027-09-01,2027,9,PLT Hybrid,0.21438625
2027-10-01,2027,10,PLT Hybrid,0.21423876
2027-11-01,2027,11,PLT Hybrid,0.21422738
2027-12-01,2027,12,PLT Hybrid,0.21427044
2028-01-01,2028,1,PLT Hybrid,0.21427517
2028-02-01,2028,2,PLT Hybrid,0.21421899
2028-03-01,2028,3,PLT Hybrid,0.21416385
2028-04-01,2028,4,PLT Hybrid,0.21411113
2028-05-01,2028,5,PLT Hybrid,0.21406236
2028-06-01,2028,6,PLT Hybrid,0.21401906
2028-07-01,2028,7,PLT Hybrid,0.2139827
2028-08-01,2028,8,PLT Hybrid,0.21395324
2028-09-01,2028,9,PLT Hybrid,0.21393147
2028-10-01,2028,10,PLT Hybrid,0.2139163
2028-11-01,2028,11,PLT Hybrid,0.21390456
2028-12-01,2028,12,PLT Hybrid,0.21389265
2026-01-01,2026,1,PLTA,42.077774
2026-02-01,2026,2,PLTA,42.505573
