Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,152.67389
2026-02-01,2026,2,163.21573
2026-03-01,2026,3,156.71384
2026-04-01,2026,4,144.08641
2026-05-01,2026,5,131.18222
2026-06-01,2026,6,121.79844
2026-07-01,2026,7,120.88829
2026-08-01,2026,8,122.990074
2026-09-01,2026,9,128.65372
2026-10-01,2026,10,134.30678
2026-11-01,2026,11,137.80785
2026-12-01,2026,12,138.45432
2027-01-01,2027,1,136.70868
2027-02-01,2027,2,134.30235
2027-03-01,2027,3,132.32161
2027-04-01,2027,4,131.50633
2027-05-01,2027,5,131.75842
2027-06-01,2027,6,132.54945
2027-07-01,2027,7,133.30782
2027-08-01,2027,8,133.66931
2027-09-01,2027,9,133.60881
2027-10-01,2027,10,133.31453
2027-11-01,2027,11,133.05537
2027-12-01,2027,12,132.99106
2028-01-01,2028,1,133.11435
2028-02-01,2028,2,133.30786
2028-03-01,2028,3,133.44043
2028-04-01,2028,4,133.44171
2028-05-01,2028,5,133.32358
2028-06-01,2028,6,133.16197
2028-07-01,2028,7,133.0451
2028-08-01,2028,8,133.02342
2028-09-01,2028,9,133.09052
2028-10-01,2028,10,133.19872
2028-11-01,2028,11,133.29128
2028-12-01,2028,12,133.33054
