Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.1981459
2026-02-01,2026,2,PLT Hybrid,0.19171868
2026-03-01,2026,3,PLT Hybrid,0.19773711
2026-04-01,2026,4,PLT Hybrid,0.20501007
2026-05-01,2026,5,PLT Hybrid,0.21342343
2026-06-01,2026,6,PLT Hybrid,0.21302658
2026-07-01,2026,7,PLT Hybrid,0.20730683
2026-08-01,2026,8,PLT Hybrid,0.20849557
2026-09-01,2026,9,PLT Hybrid,0.2109611
2026-10-01,2026,10,PLT Hybrid,0.21278417
2026-11-01,2026,11,PLT Hybrid,0.21368082
2026-12-01,2026,12,PLT Hybrid,0.21335554
2027-01-01,2027,1,PLT Hybrid,0.21313828
2027-02-01,2027,2,PLT Hybrid,0.2139089
2027-03-01,2027,3,PLT Hybrid,0.21461251
2027-04-01,2027,4,PLT Hybrid,0.21502575
2027-05-01,2027,5,PLT Hybrid,0.21522145
2027-06-01,2027,6,PLT Hybrid,0.2153267
2027-07-01,2027,7,PLT Hybrid,0.21553068
2027-08-01,2027,8,PLT Hybrid,0.21582082
2027-09-01,2027,9,PLT Hybrid,0.21603799
2027-10-01,2027,10,PLT Hybrid,0.2161833
2027-11-01,2027,11,PLT Hybrid,0.21629538
2027-12-01,2027,12,PLT Hybrid,0.21640453
2028-01-01,2028,1,PLT Hybrid,0.21652335
2028-02-01,2028,2,PLT Hybrid,0.21663441
2028-03-01,2028,3,PLT Hybrid,0.21672097
2028-04-01,2028,4,PLT Hybrid,0.21679135
2028-05-01,2028,5,PLT Hybrid,0.21685457
2028-06-01,2028,6,PLT Hybrid,0.21691431
2028-07-01,2028,7,PLT Hybrid,0.21696964
2028-08-01,2028,8,PLT Hybrid,0.2170176
2028-09-01,2028,9,PLT Hybrid,0.21705803
2028-10-01,2028,10,PLT Hybrid,0.21709348
2028-11-01,2028,11,PLT Hybrid,0.21712561
2028-12-01,2028,12,PLT Hybrid,0.21715462
2026-01-01,2026,1,PLTA,42.142418
2026-02-01,2026,2,PLTA,42.667297
2026-03-01,2026,3,PLTA,39.175247
2026-04-01,2026,4,PLTA,33.72158
2026-05-01,2026,5,PLTA,29.548769
2026-06-01,2026,6,PLTA,28.518747
2026-07-01,2026,7,PLTA,28.956116
2026-08-01,2026,8,PLTA,29.271679
2026-09-01,2026,9,PLTA,30.59483
2026-10-01,2026,10,PLTA,32.062435
2026-11-01,2026,11,PLTA,32.973137
2026-12-01,2026,12,PLTA,33.22615
2027-01-01,2027,1,PLTA,33.154892
2027-02-01,2027,2,PLTA,32.924755
2027-03-01,2027,3,PLTA,32.51293
2027-04-01,2027,4,PLTA,32.141884
2027-05-01,2027,5,PLTA,31.927265
2027-06-01,2027,6,PLTA,31.862038
2027-07-01,2027,7,PLTA,31.890728
2027-08-01,2027,8,PLTA,31.979837
2027-09-01,2027,9,PLTA,32.09818
2027-10-01,2027,10,PLTA,32.194065
2027-11-01,2027,11,PLTA,32.247242
2027-12-01,2027,12,PLTA,32.2614
2028-01-01,2028,1,PLTA,32.24809
2028-02-01,2028,2,PLTA,32.218597
2028-03-01,2028,3,PLTA,32.18557
2028-04-01,2028,4,PLTA,32.160557
2028-05-01,2028,5,PLTA,32.147415
2028-06-01,2028,6,PLTA,32.145035
2028-07-01,2028,7,PLTA,32.150265
2028-08-01,2028,8,PLTA,32.15934
2028-09-01,2028,9,PLTA,32.168472
2028-10-01,2028,10,PLTA,32.17501
2028-11-01,2028,11,PLTA,32.17817
2028-12-01,2028,12,PLTA,32.178333
2026-01-01,2026,1,PLTB,54.607395
2026-02-01,2026,2,PLTB,54.486343
2026-03-01,2026,3,PLTB,53.467865
2026-04-01,2026,4,PLTB,52.287125
2026-05-01,2026,5,PLTB,52.056866
2026-06-01,2026,6,PLTB,52.72471
2026-07-01,2026,7,PLTB,53.391243
2026-08-01,2026,8,PLTB,53.351254
2026-09-01,2026,9,PLTB,53.306595
2026-10-01,2026,10,PLTB,53.287045
2026-11-01,2026,11,PLTB,53.302986
2026-12-01,2026,12,PLTB,53.33142
2027-01-01,2027,1,PLTB,53.346302
2027-02-01,2027,2,PLTB,53.344345
2027-03-01,2027,3,PLTB,53.343323
2027-04-01,2027,4,PLTB,53.343647
2027-05-01,2027,5,PLTB,53.344772
2027-06-01,2027,6,PLTB,53.345726
2027-07-01,2027,7,PLTB,53.346043
2027-08-01,2027,8,PLTB,53.34599
2027-09-01,2027,9,PLTB,53.345993
2027-10-01,2027,10,PLTB,53.34604
2027-11-01,2027,11,PLTB,53.34609
2027-12-01,2027,12,PLTB,53.34612
2028-01-01,2028,1,PLTB,53.346123
2028-02-01,2028,2,PLTB,53.346123
2028-03-01,2028,3,PLTB,53.346127
2028-04-01,2028,4,PLTB,53.346127
2028-05-01,2028,5,PLTB,53.34613
2028-06-01,2028,6,PLTB,53.34613
2028-07-01,2028,7,PLTB,53.34613
2028-08-01,2028,8,PLTB,53.34613
2028-09-01,2028,9,PLTB,53.34613
2028-10-01,2028,10,PLTB,53.34613
2028-11-01,2028,11,PLTB,53.34613
2028-12-01,2028,12,PLTB,53.34613
2026-01-01,2026,1,PLTM,30.065632
2026-02-01,2026,2,PLTM,30.044811
2026-03-01,2026,3,PLTM,29.69511
2026-04-01,2026,4,PLTM,29.253025
2026-05-01,2026,5,PLTM,29.00719
2026-06-01,2026,6,PLTM,29.067343
2026-07-01,2026,7,PLTM,29.250393
2026-08-01,2026,8,PLTM,29.259977
2026-09-01,2026,9,PLTM,29.275589
2026-10-01,2026,10,PLTM,29.28752
2026-11-01,2026,11,PLTM,29.290705
2026-12-01,2026,12,PLTM,29.28734
2027-01-01,2027,1,PLTM,29.283678
2027-02-01,2027,2,PLTM,29.283161
2027-03-01,2027,3,PLTM,29.282648
2027-04-01,2027,4,PLTM,29.28238
2027-05-01,2027,5,PLTM,29.282372
2027-06-01,2027,6,PLTM,29.282482
2027-07-01,2027,7,PLTM,29.28256
2027-08-01,2027,8,PLTM,29.28258
2027-09-01,2027,9,PLTM,29.282597
2027-10-01,2027,10,PLTM,29.282602
2027-11-01,2027,11,PLTM,29.282602
2027-12-01,2027,12,PLTM,29.282597
2028-01-01,2028,1,PLTM,29.282595
2028-02-01,2028,2,PLTM,29.282595
2028-03-01,2028,3,PLTM,29.282595
2028-04-01,2028,4,PLTM,29.282595
2028-05-01,2028,5,PLTM,29.282593
2028-06-01,2028,6,PLTM,29.282593
2028-07-01,2028,7,PLTM,29.282595
2028-08-01,2028,8,PLTM,29.282595
2028-09-01,2028,9,PLTM,29.282595
2028-10-01,2028,10,PLTM,29.282595
2028-11-01,2028,11,PLTM,29.282595
2028-12-01,2028,12,PLTM,29.282595
2026-01-01,2026,1,PLTMH,21.304663
2026-02-01,2026,2,PLTMH,21.66031
2026-03-01,2026,3,PLTMH,20.201126
2026-04-01,2026,4,PLTMH,17.705467
2026-05-01,2026,5,PLTMH,15.9535055
2026-06-01,2026,6,PLTMH,15.744136
2026-07-01,2026,7,PLTMH,16.20712
2026-08-01,2026,8,PLTMH,16.175606
2026-09-01,2026,9,PLTMH,16.461763
2026-10-01,2026,10,PLTMH,16.825094
2026-11-01,2026,11,PLTMH,17.04063
2026-12-01,2026,12,PLTMH,17.084738
2027-01-01,2027,1,PLTMH,17.073185
2027-02-01,2027,2,PLTMH,17.07263
2027-03-01,2027,3,PLTMH,17.028177
2027-04-01,2027,4,PLTMH,16.979809
2027-05-01,2027,5,PLTMH,16.951397
2027-06-01,2027,6,PLTMH,16.941116
2027-07-01,2027,7,PLTMH,16.937817
2027-08-01,2027,8,PLTMH,16.938076
2027-09-01,2027,9,PLTMH,16.944122
2027-10-01,2027,10,PLTMH,16.950384
2027-11-01,2027,11,PLTMH,16.954372
2027-12-01,2027,12,PLTMH,16.956404
2028-01-01,2028,1,PLTMH,16.957338
2028-02-01,2028,2,PLTMH,16.957357
2028-03-01,2028,3,PLTMH,16.956614
2028-04-01,2028,4,PLTMH,16.955814
2028-05-01,2028,5,PLTMH,16.955238
2028-06-01,2028,6,PLTMH,16.954882
2028-07-01,2028,7,PLTMH,16.954702
2028-08-01,2028,8,PLTMH,16.95468
2028-09-01,2028,9,PLTMH,16.954763
2028-10-01,2028,10,PLTMH,16.954865
2028-11-01,2028,11,PLTMH,16.954948
2028-12-01,2028,12,PLTMH,16.955006
2026-01-01,2026,1,PLTS,1.0435144
2026-02-01,2026,2,PLTS,1.0407358
2026-03-01,2026,3,PLTS,1.0360253
2026-04-01,2026,4,PLTS,1.0340987
2026-05-01,2026,5,PLTS,1.036031
2026-06-01,2026,6,PLTS,1.0449903
2026-07-01,2026,7,PLTS,1.0582447
2026-08-01,2026,8,PLTS,1.0583485
2026-09-01,2026,9,PLTS,1.0591414
2026-10-01,2026,10,PLTS,1.0607318
2026-11-01,2026,11,PLTS,1.0628036
2026-12-01,2026,12,PLTS,1.0649452
2027-01-01,2027,1,PLTS,1.066468
2027-02-01,2027,2,PLTS,1.0669479
2027-03-01,2027,3,PLTS,1.0675429
2027-04-01,2027,4,PLTS,1.0681691
2027-05-01,2027,5,PLTS,1.0687344
2027-06-01,2027,6,PLTS,1.0691787
2027-07-01,2027,7,PLTS,1.0694823
2027-08-01,2027,8,PLTS,1.0696914
2027-09-01,2027,9,PLTS,1.0698918
2027-10-01,2027,10,PLTS,1.0700661
2027-11-01,2027,11,PLTS,1.0702065
2027-12-01,2027,12,PLTS,1.0703137
2028-01-01,2028,1,PLTS,1.0703954
2028-02-01,2028,2,PLTS,1.0704614
2028-03-01,2028,3,PLTS,1.0705178
2028-04-01,2028,4,PLTS,1.0705639
2028-05-01,2028,5,PLTS,1.0706002
2028-06-01,2028,6,PLTS,1.0706288
2028-07-01,2028,7,PLTS,1.0706517
2028-08-01,2028,8,PLTS,1.0706704
2028-09-01,2028,9,PLTS,1.0706856
2028-10-01,2028,10,PLTS,1.070698
2028-11-01,2028,11,PLTS,1.0707077
2028-12-01,2028,12,PLTS,1.0707157
2026-01-01,2026,1,PLTS Atap,1.1604604
2026-02-01,2026,2,PLTS Atap,1.1931673
2026-03-01,2026,3,PLTS Atap,1.1892821
2026-04-01,2026,4,PLTS Atap,1.1632783
2026-05-01,2026,5,PLTS Atap,1.1230607
2026-06-01,2026,6,PLTS Atap,1.1086524
2026-07-01,2026,7,PLTS Atap,1.116926
2026-08-01,2026,8,PLTS Atap,1.116761
2026-09-01,2026,9,PLTS Atap,1.1156318
2026-10-01,2026,10,PLTS Atap,1.1142995
2026-11-01,2026,11,PLTS Atap,1.1133258
2026-12-01,2026,12,PLTS Atap,1.1131485
2027-01-01,2027,1,PLTS Atap,1.1132828
2027-02-01,2027,2,PLTS Atap,1.1132323
2027-03-01,2027,3,PLTS Atap,1.1131723
2027-04-01,2027,4,PLTS Atap,1.1131264
2027-05-01,2027,5,PLTS Atap,1.1131041
2027-06-01,2027,6,PLTS Atap,1.1131012
2027-07-01,2027,7,PLTS Atap,1.1131017
2027-08-01,2027,8,PLTS Atap,1.1130986
2027-09-01,2027,9,PLTS Atap,1.1130964
2027-10-01,2027,10,PLTS Atap,1.113095
2027-11-01,2027,11,PLTS Atap,1.1130944
2027-12-01,2027,12,PLTS Atap,1.1130943
2028-01-01,2028,1,PLTS Atap,1.1130943
2028-02-01,2028,2,PLTS Atap,1.1130942
2028-03-01,2028,3,PLTS Atap,1.1130941
2028-04-01,2028,4,PLTS Atap,1.1130941
2028-05-01,2028,5,PLTS Atap,1.1130941
2028-06-01,2028,6,PLTS Atap,1.1130941
2028-07-01,2028,7,PLTS Atap,1.1130941
2028-08-01,2028,8,PLTS Atap,1.1130941
2028-09-01,2028,9,PLTS Atap,1.1130941
2028-10-01,2028,10,PLTS Atap,1.1130941
2028-11-01,2028,11,PLTS Atap,1.1130941
2028-12-01,2028,12,PLTS Atap,1.1130941
