Tanggal,Produksi,Kapasitas,Cuaca,Jenis
1/1/2020,1308593.24,3584.07,363.7796953,PLTA
1/1/2020,210.852041,10.34,5.69915413,PLTB
1/1/2020,18206.36412,22.12,5.699554746,PLTM
1/1/2020,13179.22961,36.2,5.257256514,PLTMH
1/1/2020,390.23595,16.71,4.427661043,PLTS
2/1/2020,1096510.887,3584.07,335.3167703,PLTA
2/1/2020,229.456633,10.34,4.893278422,PLTB
2/1/2020,14530.77917,22.12,4.971474351,PLTM
2/1/2020,11043.2855,36.2,5.445058506,PLTMH
2/1/2020,338.587443,16.71,4.051025357,PLTS
3/1/2020,1222857.821,3584.07,366.0185925,PLTA
3/1/2020,139.816327,10.34,5.643546412,PLTB
3/1/2020,16680.64493,22.12,5.450319408,PLTM
3/1/2020,12315.76284,36.2,5.602325673,PLTMH
3/1/2020,453.121858,16.71,4.576898743,PLTS
4/1/2020,1105535.668,3584.07,365.4509543,PLTA
4/1/2020,143.19898,10.34,5.133687921,PLTB
4/1/2020,14680.55681,22.12,4.900571798,PLTM
4/1/2020,11134.17674,36.2,5.371658087,PLTMH
4/1/2020,435.512129,16.71,4.517836308,PLTS
5/1/2020,1037849.811,3584.07,229.57113,PLTA
5/1/2020,180.971939,10.34,3.301238441,PLTB
5/1/2020,13571.04882,22.12,3.932773157,PLTM
5/1/2020,10452.49245,36.2,3.788268468,PLTMH
5/1/2020,425.028353,16.71,6.927359045,PLTS
6/1/2020,934064.8301,3584.07,254.2888384,PLTA
6/1/2020,162.931122,10.34,3.805639868,PLTB
6/1/2020,11930.36587,22.12,3.28588677,PLTM
6/1/2020,9407.243202,36.2,3.800686272,PLTMH
6/1/2020,406.71524,16.71,6.245071893,PLTS
7/1/2020,780643.5536,3584.07,254.9002223,PLTA
7/1/2020,208.596939,10.34,3.853833625,PLTB
7/1/2020,9633.299674,22.12,3.757232072,PLTM
7/1/2020,7862.092145,36.2,3.787124247,PLTMH
7/1/2020,440.134369,16.71,6.203239444,PLTS
8/1/2020,667833.7915,3584.07,238.4879388,PLTA
8/1/2020,242.987245,10.34,3.390502471,PLTB
8/1/2020,8036.956325,22.12,3.742350901,PLTM
8/1/2020,6725.951662,36.2,3.710280548,PLTMH
8/1/2020,539.939581,16.71,6.780829587,PLTS
9/1/2020,690395.744,3584.07,244.6029243,PLTA
9/1/2020,239.604592,10.34,3.292232853,PLTB
9/1/2020,8350.155546,22.12,3.288723469,PLTM
9/1/2020,6953.179758,36.2,3.302572397,PLTMH
9/1/2020,582.846025,16.71,6.819427119,PLTS
10/1/2020,875403.7538,3584.07,256.8714788,PLTA
10/1/2020,177.02551,10.34,3.382239704,PLTB
10/1/2020,11034.41625,22.12,3.891223569,PLTM
10/1/2020,8816.450151,36.2,3.603202912,PLTMH
10/1/2020,597.658964,16.71,7.029671329,PLTS
11/1/2020,1091998.497,3584.07,386.6922439,PLTA
11/1/2020,135.306122,10.34,5.121864995,PLTB
11/1/2020,14456.10466,22.12,5.287478992,PLTM
11/1/2020,10997.83988,36.2,5.145637252,PLTMH
11/1/2020,511.619988,16.71,4.825627409,PLTS
12/1/2020,1137122.402,3584.07,345.9475234,PLTA
12/1/2020,139.252551,10.34,5.103449605,PLTB
12/1/2020,15209.30782,22.12,5.505491785,PLTM
12/1/2020,11452.29607,36.2,5.803682018,PLTMH
12/1/2020,448.600102,16.71,4.44397822,PLTS
1/1/2021,1266965.974,3504.42,370.3749616,PLTA
1/1/2021,490.397959,12.3,5.071081879,PLTB
1/1/2021,20494.13929,37.68,5.530052706,PLTM
1/1/2021,13677.53021,45.62,5.735410087,PLTMH
1/1/2021,394.439569,21.34,4.108710466,PLTS
2/1/2021,1061630.11,3504.42,386.0011307,PLTA
2/1/2021,533.668367,12.3,4.915724734,PLTB
2/1/2021,16336.96733,37.68,4.889050317,PLTM
2/1/2021,11460.82704,45.62,4.899902733,PLTMH
2/1/2021,342.234705,21.34,4.314046688,PLTS
3/1/2021,1183957.859,3504.42,391.7868297,PLTA
3/1/2021,325.183673,12.3,5.384690517,PLTB
3/1/2021,18767.47778,37.68,5.870885939,PLTM
3/1/2021,12781.41616,45.62,5.681198592,PLTMH
3/1/2021,458.002883,21.34,4.764386497,PLTS
4/1/2021,1070367.806,3504.42,326.8095543,PLTA
4/1/2021,333.05102,12.3,5.590994885,PLTB
4/1/2021,16506.19955,37.68,5.178220713,PLTM
4/1/2021,11555.15483,45.62,5.587424898,PLTMH
4/1/2021,440.203463,21.34,4.528497035,PLTS
5/1/2021,1004835.083,3504.42,248.0652547,PLTA
5/1/2021,420.903061,12.3,3.298731285,PLTB
5/1/2021,15252.93333,37.68,3.863305622,PLTM
5/1/2021,10847.69637,45.62,3.559433151,PLTMH
5/1/2021,429.606755,21.34,6.233824454,PLTS
6/1/2021,904351.5748,3504.42,255.2648252,PLTA
