Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.2055898
2026-02-01,2026,2,PLT Hybrid,0.20147847
2026-03-01,2026,3,PLT Hybrid,0.20510863
2026-04-01,2026,4,PLT Hybrid,0.20934583
2026-05-01,2026,5,PLT Hybrid,0.2144803
2026-06-01,2026,6,PLT Hybrid,0.21479535
2026-07-01,2026,7,PLT Hybrid,0.21211527
2026-08-01,2026,8,PLT Hybrid,0.21260187
2026-09-01,2026,9,PLT Hybrid,0.21361212
2026-10-01,2026,10,PLT Hybrid,0.21437262
2026-11-01,2026,11,PLT Hybrid,0.2147868
2026-12-01,2026,12,PLT Hybrid,0.21472356
2027-01-01,2027,1,PLT Hybrid,0.2146433
2027-02-01,2027,2,PLT Hybrid,0.21485445
2027-03-01,2027,3,PLT Hybrid,0.21504658
2027-04-01,2027,4,PLT Hybrid,0.21516012
2027-05-01,2027,5,PLT Hybrid,0.2152122
2027-06-01,2027,6,PLT Hybrid,0.21523236
2027-07-01,2027,7,PLT Hybrid,0.21526666
2027-08-01,2027,8,PLT Hybrid,0.21531698
2027-09-01,2027,9,PLT Hybrid,0.21535316
2027-10-01,2027,10,PLT Hybrid,0.21537521
2027-11-01,2027,11,PLT Hybrid,0.21538962
2027-12-01,2027,12,PLT Hybrid,0.21540175
2028-01-01,2028,1,PLT Hybrid,0.21541433
2028-02-01,2028,2,PLT Hybrid,0.21542567
2028-03-01,2028,3,PLT Hybrid,0.21543369
2028-04-01,2028,4,PLT Hybrid,0.2154394
2028-05-01,2028,5,PLT Hybrid,0.21544394
2028-06-01,2028,6,PLT Hybrid,0.21544787
2028-07-01,2028,7,PLT Hybrid,0.2154513
2028-08-01,2028,8,PLT Hybrid,0.21545404
2028-09-01,2028,9,PLT Hybrid,0.21545608
2028-10-01,2028,10,PLT Hybrid,0.21545771
2028-11-01,2028,11,PLT Hybrid,0.21545903
2028-12-01,2028,12,PLT Hybrid,0.21546012
2026-01-01,2026,1,PLTA,41.71794
2026-02-01,2026,2,PLTA,42.3093
2026-03-01,2026,3,PLTA,39.01185
2026-04-01,2026,4,PLTA,33.612953
2026-05-01,2026,5,PLTA,29.445553
2026-06-01,2026,6,PLTA,28.554722
2026-07-01,2026,7,PLTA,29.195137
2026-08-01,2026,8,PLTA,29.35792
2026-09-01,2026,9,PLTA,30.454058
2026-10-01,2026,10,PLTA,31.726229
2026-11-01,2026,11,PLTA,32.51642
2026-12-01,2026,12,PLTA,32.72044
2027-01-01,2027,1,PLTA,32.66989
2027-02-01,2027,2,PLTA,32.537907
2027-03-01,2027,3,PLTA,32.243065
