Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,149.2169
2026-02-01,2026,2,150.05289
2026-03-01,2026,3,144.15602
2026-04-01,2026,4,134.78249
2026-05-01,2026,5,128.28915
2026-06-01,2026,6,127.63182
2026-07-01,2026,7,129.48373
2026-08-01,2026,8,129.92336
2026-09-01,2026,9,131.68468
2026-10-01,2026,10,133.62418
2026-11-01,2026,11,134.73314
2026-12-01,2026,12,134.91397
2027-01-01,2027,1,134.71252
2027-02-01,2027,2,134.42952
2027-03-01,2027,3,133.94038
2027-04-01,2027,4,133.5193
2027-05-01,2027,5,133.30847
2027-06-01,2027,6,133.27686
2027-07-01,2027,7,133.33276
2027-08-01,2027,8,133.43184
2027-09-01,2027,9,133.55469
2027-10-01,2027,10,133.64546
2027-11-01,2027,11,133.68634
2027-12-01,2027,12,133.68884
2028-01-01,2028,1,133.67009
2028-02-01,2028,2,133.6412
2028-03-01,2028,3,133.6121
2028-04-01,2028,4,133.593
2028-05-01,2028,5,133.58559
2028-06-01,2028,6,133.58675
2028-07-01,2028,7,133.59271
2028-08-01,2028,8,133.60036
2028-09-01,2028,9,133.60698
2028-10-01,2028,10,133.61086
2028-11-01,2028,11,133.612
2028-12-01,2028,12,133.61124
