Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.22037317
2026-02-01,2026,2,PLT Hybrid,0.2180351
2026-03-01,2026,3,PLT Hybrid,0.2153021
2026-04-01,2026,4,PLT Hybrid,0.21003109
2026-05-01,2026,5,PLT Hybrid,0.20920444
2026-06-01,2026,6,PLT Hybrid,0.21086894
2026-07-01,2026,7,PLT Hybrid,0.21251549
2026-08-01,2026,8,PLT Hybrid,0.21154797
2026-09-01,2026,9,PLT Hybrid,0.21081847
2026-10-01,2026,10,PLT Hybrid,0.21036305
2026-11-01,2026,11,PLT Hybrid,0.21046317
2026-12-01,2026,12,PLT Hybrid,0.2106376
2027-01-01,2027,1,PLT Hybrid,0.21061821
2027-02-01,2027,2,PLT Hybrid,0.21040818
2027-03-01,2027,3,PLT Hybrid,0.21029478
2027-04-01,2027,4,PLT Hybrid,0.21025254
2027-05-01,2027,5,PLT Hybrid,0.21025307
2027-06-01,2027,6,PLT Hybrid,0.21023697
2027-07-01,2027,7,PLT Hybrid,0.21019703
2027-08-01,2027,8,PLT Hybrid,0.21015505
2027-09-01,2027,9,PLT Hybrid,0.21013248
2027-10-01,2027,10,PLT Hybrid,0.2101192
2027-11-01,2027,11,PLT Hybrid,0.21010798
2027-12-01,2027,12,PLT Hybrid,0.21009456
2028-01-01,2028,1,PLT Hybrid,0.21008104
2028-02-01,2028,2,PLT Hybrid,0.21007031
2028-03-01,2028,3,PLT Hybrid,0.21006286
2028-04-01,2028,4,PLT Hybrid,0.2100567
2028-05-01,2028,5,PLT Hybrid,0.21005104
2028-06-01,2028,6,PLT Hybrid,0.21004581
2028-07-01,2028,7,PLT Hybrid,0.21004133
2028-08-01,2028,8,PLT Hybrid,0.21003772
2028-09-01,2028,9,PLT Hybrid,0.21003482
2028-10-01,2028,10,PLT Hybrid,0.21003228
2028-11-01,2028,11,PLT Hybrid,0.21003006
2028-12-01,2028,12,PLT Hybrid,0.21002816
2026-01-01,2026,1,PLTA,41.71751
2026-02-01,2026,2,PLTA,42.251663
2026-03-01,2026,3,PLTA,38.783203
2026-04-01,2026,4,PLTA,33.410652
2026-05-01,2026,5,PLTA,29.376905
2026-06-01,2026,6,PLTA,28.506817
2026-07-01,2026,7,PLTA,29.071877
2026-08-01,2026,8,PLTA,29.244526
2026-09-01,2026,9,PLTA,30.355122
2026-10-01,2026,10,PLTA,31.63597
2026-11-01,2026,11,PLTA,32.428864
2026-12-01,2026,12,PLTA,32.63129
2027-01-01,2027,1,PLTA,32.576057
2027-02-01,2027,2,PLTA,32.43041
2027-03-01,2027,3,PLTA,32.120647
2027-04-01,2027,4,PLTA,31.832016
2027-05-01,2027,5,PLTA,31.664257
2027-06-01,2027,6,PLTA,31.610422
2027-07-01,2027,7,PLTA,31.620876
2027-08-01,2027,8,PLTA,31.67244
2027-09-01,2027,9,PLTA,31.750984
2027-10-01,2027,10,PLTA,31.817291
2027-11-01,2027,11,PLTA,31.855541
2027-12-01,2027,12,PLTA,31.868551
2028-01-01,2028,1,PLTA,31.86435
2028-02-01,2028,2,PLTA,31.849047
2028-03-01,2028,3,PLTA,31.829676
2028-04-01,2028,4,PLTA,31.814156
2028-05-01,2028,5,PLTA,31.805231
2028-06-01,2028,6,PLTA,31.802357
2028-07-01,2028,7,PLTA,31.80392
2028-08-01,2028,8,PLTA,31.808094
2028-09-01,2028,9,PLTA,31.812841
2028-10-01,2028,10,PLTA,31.816523
2028-11-01,2028,11,PLTA,31.818607
2028-12-01,2028,12,PLTA,31.819191
2026-01-01,2026,1,PLTB,55.6009
2026-02-01,2026,2,PLTB,54.911064
2026-03-01,2026,3,PLTB,53.286057
