Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,149.21222
2026-02-01,2026,2,149.75969
2026-03-01,2026,3,143.46173
2026-04-01,2026,4,134.1753
2026-05-01,2026,5,128.28674
2026-06-01,2026,6,128.1099
2026-07-01,2026,7,129.95232
2026-08-01,2026,8,130.11795
2026-09-01,2026,9,131.6064
2026-10-01,2026,10,133.37798
2026-11-01,2026,11,134.497
2026-12-01,2026,12,134.80132
2027-01-01,2027,1,134.73445
2027-02-01,2027,2,134.54861
2027-03-01,2027,3,134.14824
2027-04-01,2027,4,133.77823
2027-05-01,2027,5,133.56976
2027-06-01,2027,6,133.50795
2027-07-01,2027,7,133.52382
2027-08-01,2027,8,133.58733
2027-09-01,2027,9,133.68495
2027-10-01,2027,10,133.76698
2027-11-01,2027,11,133.81369
2027-12-01,2027,12,133.82939
2028-01-01,2028,1,133.82457
2028-02-01,2028,2,133.80669
2028-03-01,2028,3,133.78384
2028-04-01,2028,4,133.76566
2028-05-01,2028,5,133.75528
2028-06-01,2028,6,133.75197
2028-07-01,2028,7,133.75374
2028-08-01,2028,8,133.75851
2028-09-01,2028,9,133.76396
2028-10-01,2028,10,133.76816
2028-11-01,2028,11,133.77054
2028-12-01,2028,12,133.77122
