Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,151.31339
2026-02-01,2026,2,162.27719
2026-03-01,2026,3,155.874
2026-04-01,2026,4,142.16309
2026-05-01,2026,5,127.40919
2026-06-01,2026,6,117.8695
2026-07-01,2026,7,118.263
2026-08-01,2026,8,121.849075
2026-09-01,2026,9,129.16719
2026-10-01,2026,10,135.92368
2026-11-01,2026,11,139.50697
2026-12-01,2026,12,139.44592
2027-01-01,2027,1,137.03027
2027-02-01,2027,2,134.27492
2027-03-01,2027,3,132.01294
2027-04-01,2027,4,130.95201
2027-05-01,2027,5,131.0224
2027-06-01,2027,6,131.70596
2027-07-01,2027,7,132.44687
2027-08-01,2027,8,132.96835
2027-09-01,2027,9,133.26271
2027-10-01,2027,10,133.37756
2027-11-01,2027,11,133.42221
2027-12-01,2027,12,133.45
2028-01-01,2028,1,133.43196
2028-02-01,2028,2,133.31464
2028-03-01,2028,3,133.09967
2028-04-01,2028,4,132.8578
2028-05-01,2028,5,132.67644
2028-06-01,2028,6,132.62302
2028-07-01,2028,7,132.71275
2028-08-01,2028,8,132.89984
2028-09-01,2028,9,133.10083
2028-10-01,2028,10,133.23799
2028-11-01,2028,11,133.27298
2028-12-01,2028,12,133.21324
