Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.2007622
2026-02-01,2026,2,PLT Hybrid,0.20596637
2026-03-01,2026,3,PLT Hybrid,0.19779475
2026-04-01,2026,4,PLT Hybrid,0.18635188
2026-05-01,2026,5,PLT Hybrid,0.19662197
2026-06-01,2026,6,PLT Hybrid,0.19757777
2026-07-01,2026,7,PLT Hybrid,0.18704894
2026-08-01,2026,8,PLT Hybrid,0.18715578
2026-09-01,2026,9,PLT Hybrid,0.18757987
2026-10-01,2026,10,PLT Hybrid,0.1877959
2026-11-01,2026,11,PLT Hybrid,0.1875724
2026-12-01,2026,12,PLT Hybrid,0.18784675
2027-01-01,2027,1,PLT Hybrid,0.18826765
2027-02-01,2027,2,PLT Hybrid,0.18824992
2027-03-01,2027,3,PLT Hybrid,0.18822747
2027-04-01,2027,4,PLT Hybrid,0.18821569
2027-05-01,2027,5,PLT Hybrid,0.18820748
2027-06-01,2027,6,PLT Hybrid,0.18818294
2027-07-01,2027,7,PLT Hybrid,0.18816628
2027-08-01,2027,8,PLT Hybrid,0.18816794
2027-09-01,2027,9,PLT Hybrid,0.18816966
2027-10-01,2027,10,PLT Hybrid,0.18817107
2027-11-01,2027,11,PLT Hybrid,0.18817256
2027-12-01,2027,12,PLT Hybrid,0.18817408
2028-01-01,2028,1,PLT Hybrid,0.18817468
2028-02-01,2028,2,PLT Hybrid,0.18817453
2028-03-01,2028,3,PLT Hybrid,0.18817437
2028-04-01,2028,4,PLT Hybrid,0.18817422
2028-05-01,2028,5,PLT Hybrid,0.1881741
2028-06-01,2028,6,PLT Hybrid,0.18817402
2028-07-01,2028,7,PLT Hybrid,0.188174
2028-08-01,2028,8,PLT Hybrid,0.18817402
2028-09-01,2028,9,PLT Hybrid,0.18817402
2028-10-01,2028,10,PLT Hybrid,0.18817404
2028-11-01,2028,11,PLT Hybrid,0.18817405
2028-12-01,2028,12,PLT Hybrid,0.18817405
2026-01-01,2026,1,PLTA,39.773148
2026-02-01,2026,2,PLTA,39.94904
2026-03-01,2026,3,PLTA,37.83772
2026-04-01,2026,4,PLTA,33.51894
2026-05-01,2026,5,PLTA,29.287666
2026-06-01,2026,6,PLTA,28.493128
2026-07-01,2026,7,PLTA,29.554361
2026-08-01,2026,8,PLTA,30.132557
2026-09-01,2026,9,PLTA,31.499722
2026-10-01,2026,10,PLTA,32.91471
2026-11-01,2026,11,PLTA,33.73397
2026-12-01,2026,12,PLTA,33.801167
2027-01-01,2027,1,PLTA,33.53289
2027-02-01,2027,2,PLTA,33.1875
2027-03-01,2027,3,PLTA,32.721355
2027-04-01,2027,4,PLTA,32.343708
2027-05-01,2027,5,PLTA,32.169376
2027-06-01,2027,6,PLTA,32.18153
2027-07-01,2027,7,PLTA,32.289494
2027-08-01,2027,8,PLTA,32.434956
2027-09-01,2027,9,PLTA,32.582153
2027-10-01,2027,10,PLTA,32.67943
2027-11-01,2027,11,PLTA,32.712307
2027-12-01,2027,12,PLTA,32.695107
2028-01-01,2028,1,PLTA,32.65161
2028-02-01,2028,2,PLTA,32.60077
2028-03-01,2028,3,PLTA,32.557854
2028-04-01,2028,4,PLTA,32.534004
2028-05-01,2028,5,PLTA,32.529854
2028-06-01,2028,6,PLTA,32.539654
2028-07-01,2028,7,PLTA,32.555965
2028-08-01,2028,8,PLTA,32.572388
2028-09-01,2028,9,PLTA,32.5843
2028-10-01,2028,10,PLTA,32.589592
2028-11-01,2028,11,PLTA,32.58897
2028-12-01,2028,12,PLTA,32.58461
2026-01-01,2026,1,PLTB,50.56467
2026-02-01,2026,2,PLTB,61.523994
2026-03-01,2026,3,PLTB,61.396168
2026-04-01,2026,4,PLTB,59.191074
2026-05-01,2026,5,PLTB,54.835075
2026-06-01,2026,6,PLTB,47.730377
2026-07-01,2026,7,PLTB,46.155216
2026-08-01,2026,8,PLTB,48.215622
2026-09-01,2026,9,PLTB,51.411137
2026-10-01,2026,10,PLTB,53.80619
2026-11-01,2026,11,PLTB,54.810326
2026-12-01,2026,12,PLTB,54.303486
2027-01-01,2027,1,PLTB,52.551895
2027-02-01,2027,2,PLTB,50.98468
2027-03-01,2027,3,PLTB,50.428196
2027-04-01,2027,4,PLTB,50.83953
