Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2023-01-01,338.4792,717.63,7.79,Hydro
2023-02-01,305.2396,717.63,6.26,Hydro
2023-03-01,352.0937,717.63,10.26,Hydro
2023-04-01,407.5655,717.63,11.62,Hydro
2023-05-01,474.3343,717.63,10.87,Hydro
2023-06-01,446.0915,717.63,8.31,Hydro
2023-07-01,345.4313,717.63,4.67,Hydro
2023-08-01,258.82,717.63,4.89,Hydro
2023-09-01,197.6997,717.63,4.09,Hydro
2023-10-01,161.6358,717.63,2.18,Hydro
2023-11-01,217.8317,717.63,8.77,Hydro
2023-12-01,266.6411,717.63,7.46,Hydro
2024-01-01,373.1393,776.23,13.69,Hydro
2024-02-01,426.1528,776.23,17.58,Hydro
2024-03-01,377.8637,776.23,10.32,Hydro
2024-04-01,378.6814,776.23,13.78,Hydro
2024-05-01,389.4022,776.23,18.76,Hydro
2024-06-01,386.2223,776.23,9.97,Hydro
2024-07-01,443.0063,776.23,20.03,Hydro
2024-08-01,344.5201,776.23,7.92,Hydro
2024-09-01,286.555,776.23,3.59,Hydro
2024-10-01,169.2619,776.23,7.12,Hydro
2024-11-01,199.2438,776.23,11.22,Hydro
2024-12-01,305.8161,776.23,15.32,Hydro
2025-01-01,605.9965,859.7543,11.22,Hydro
2025-02-01,558.4673,859.7543,9.46,Hydro
2025-03-01,528.5816,859.7543,8.68,Hydro
2025-04-01,436.0438,859.7543,6.08,Hydro
2025-05-01,405.618,859.7543,7.77,Hydro
2025-06-01,335.2244,859.7543,4.77,Hydro
2025-07-01,302.8182,859.7543,4.28,Hydro
2025-08-01,243.4068,859.7543,4.47,Hydro
2025-09-01,229.7242,859.7543,4.01,Hydro
2025-10-01,256.5493,859.7543,5.77,Hydro
2025-11-01,283.5545,859.7543,5.97,Hydro
2025-12-01,332.884,859.7543,6.75,Hydro
2023-01-01,0.6543,5.3305,4.6603,Solar
2023-02-01,0.5677,5.3305,4.0435,Solar
2023-03-01,0.7597,5.3305,5.4113,Solar
2023-04-01,0.7302,5.3305,5.201,Solar
2023-05-01,0.7126,5.3305,5.0758,Solar
2023-06-01,0.6819,5.3305,4.8571,Solar
2023-07-01,0.738,5.3305,5.2562,Solar
2023-08-01,0.9053,5.3305,6.4481,Solar
2023-09-01,0.9772,5.3305,6.9605,Solar
2023-10-01,1.0021,5.3305,7.1374,Solar
2023-11-01,0.8578,5.3305,6.1099,Solar
2023-12-01,0.7522,5.3305,5.3573,Solar
2024-01-01,1.4132,12.0955,4.1609,Solar
2024-02-01,1.6554,12.0955,4.8742,Solar
2024-03-01,1.6967,12.0955,4.9958,Solar
2024-04-01,1.6485,12.0955,4.8538,Solar
2024-05-01,1.7391,12.0955,5.1204,Solar
2024-06-01,1.6529,12.0955,4.8667,Solar
2024-07-01,1.7583,12.0955,5.177,Solar
2024-08-01,2.0802,12.0955,6.1248,Solar
2024-09-01,2.184,12.0955,6.4303,Solar
2024-10-01,2.2003,12.0955,6.4783,Solar
2024-11-01,1.9837,12.0955,5.8406,Solar
2024-12-01,1.1791,12.0955,3.4716,Solar
2025-01-01,1.7368,13.7767,4.3742,Solar
2025-02-01,1.8195,13.7767,4.5823,Solar
2025-03-01,1.9918,13.7767,5.0162,Solar
2025-04-01,2.0307,13.7767,5.1142,Solar
2025-05-01,1.9181,13.7767,4.8307,Solar
2025-06-01,1.656,13.7767,4.1707,Solar
2025-07-01,2.0489,13.7767,5.1602,Solar
2025-08-01,2.2783,13.7767,5.7379,Solar
2025-09-01,2.5106,13.7767,6.323,Solar
2025-10-01,2.4501,13.7767,6.1704,Solar
2025-11-01,1.9519,13.7767,4.9159,Solar
2025-12-01,1.744,13.7767,4.3922,Solar
2023-01-01,50.933,130.0,2.62,Wind
2023-02-01,53.6546,130.0,2.76,Wind
2023-03-01,36.1586,130.0,1.86,Wind
2023-04-01,35.3809,130.0,1.82,Wind
2023-05-01,41.6018,130.0,2.14,Wind
2023-06-01,44.3234,130.0,2.28,Wind
2023-07-01,50.3498,130.0,2.59,Wind
2023-08-01,65.7075,130.0,3.38,Wind
2023-09-01,67.8459,130.0,3.49,Wind
2023-10-01,58.709,130.0,3.02,Wind
2023-11-01,31.6873,130.0,1.63,Wind
2023-12-01,33.0481,130.0,1.7,Wind
2024-01-01,50.6851,143.0,2.21,Wind
2024-02-01,43.3461,143.0,1.89,Wind
2024-03-01,36.9245,143.0,1.61,Wind
2024-04-01,33.4843,143.0,1.46,Wind
2024-05-01,58.9416,143.0,2.57,Wind
2024-06-01,56.8775,143.0,2.48,Wind
2024-07-01,64.6752,143.0,2.82,Wind
2024-08-01,74.9957,143.0,3.27,Wind
2024-09-01,58.9416,143.0,2.57,Wind
2024-10-01,49.7678,143.0,2.17,Wind
2024-11-01,41.282,143.0,1.8,Wind
2024-12-01,56.4188,143.0,2.46,Wind
2025-01-01,57.639,157.3,2.14,Wind
2025-02-01,56.8309,157.3,2.11,Wind
2025-03-01,51.7135,157.3,1.92,Wind
2025-04-01,42.5559,157.3,1.58,Wind
2025-05-01,48.212,157.3,1.79,Wind
2025-06-01,58.9857,157.3,2.19,Wind
2025-07-01,61.4097,157.3,2.28,Wind
2025-08-01,74.6074,157.3,2.77,Wind
2025-09-01,77.0315,157.3,2.86,Wind
2025-10-01,48.4814,157.3,1.8,Wind
2025-11-01,54.4069,157.3,2.02,Wind
2025-12-01,57.1003,157.3,2.12,Wind
