Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,Hydro,335.99362
2026-02-01,2026,2,Hydro,363.00824
2026-03-01,2026,3,Hydro,370.17325
2026-04-01,2026,4,Hydro,372.24008
2026-05-01,2026,5,Hydro,358.72516
2026-06-01,2026,6,Hydro,346.38666
2026-07-01,2026,7,Hydro,338.2592
2026-08-01,2026,8,Hydro,331.99014
2026-09-01,2026,9,Hydro,333.5939
2026-10-01,2026,10,Hydro,338.8504
2026-11-01,2026,11,Hydro,346.467
2026-12-01,2026,12,Hydro,351.70236
2027-01-01,2027,1,Hydro,353.80984
2027-02-01,2027,2,Hydro,353.12994
2027-03-01,2027,3,Hydro,349.79434
2027-04-01,2027,4,Hydro,345.94525
2027-05-01,2027,5,Hydro,342.93698
2027-06-01,2027,6,Hydro,341.88257
2027-07-01,2027,7,Hydro,342.57315
2027-08-01,2027,8,Hydro,344.37863
2027-09-01,2027,9,Hydro,346.52142
2027-10-01,2027,10,Hydro,348.07953
2027-11-01,2027,11,Hydro,348.62708
2027-12-01,2027,12,Hydro,348.1585
2028-01-01,2028,1,Hydro,347.09512
2028-02-01,2028,2,Hydro,345.93994
2028-03-01,2028,3,Hydro,345.1165
2028-04-01,2028,4,Hydro,344.86676
2028-05-01,2028,5,Hydro,345.15582
2028-06-01,2028,6,Hydro,345.765
2028-07-01,2028,7,Hydro,346.40024
2028-08-01,2028,8,Hydro,346.82883
2028-09-01,2028,9,Hydro,346.9405
2028-10-01,2028,10,Hydro,346.7595
2028-11-01,2028,11,Hydro,346.41498
2028-12-01,2028,12,Hydro,346.06723
2026-01-01,2026,1,Solar,2.1376305
2026-02-01,2026,2,Solar,2.2055273
2026-03-01,2026,3,Solar,2.2296944
2026-04-01,2026,4,Solar,2.1821532
2026-05-01,2026,5,Solar,2.1028686
2026-06-01,2026,6,Solar,2.0889764
2026-07-01,2026,7,Solar,2.1217093
2026-08-01,2026,8,Solar,2.1229334
2026-09-01,2026,9,Solar,2.1246128
2026-10-01,2026,10,Solar,2.1256397
2026-11-01,2026,11,Solar,2.125686
2026-12-01,2026,12,Solar,2.1253102
2027-01-01,2027,1,Solar,2.125095
2027-02-01,2027,2,Solar,2.1250544
2027-03-01,2027,3,Solar,2.1250386
2027-04-01,2027,4,Solar,2.1250412
2027-05-01,2027,5,Solar,2.1250498
2027-06-01,2027,6,Solar,2.1250546
2027-07-01,2027,7,Solar,2.1250567
2027-08-01,2027,8,Solar,2.1250567
2027-09-01,2027,9,Solar,2.1250567
2027-10-01,2027,10,Solar,2.1250563
2027-11-01,2027,11,Solar,2.125056
2027-12-01,2027,12,Solar,2.125056
2028-01-01,2028,1,Solar,2.125056
2028-02-01,2028,2,Solar,2.125056
2028-03-01,2028,3,Solar,2.125056
2028-04-01,2028,4,Solar,2.125056
2028-05-01,2028,5,Solar,2.125056
2028-06-01,2028,6,Solar,2.125056
2028-07-01,2028,7,Solar,2.125056
2028-08-01,2028,8,Solar,2.125056
2028-09-01,2028,9,Solar,2.125056
2028-10-01,2028,10,Solar,2.125056
2028-11-01,2028,11,Solar,2.125056
2028-12-01,2028,12,Solar,2.125056
2026-01-01,2026,1,Wind,54.74836
2026-02-01,2026,2,Wind,55.61335
2026-03-01,2026,3,Wind,59.811596
2026-04-01,2026,4,Wind,65.0478
2026-05-01,2026,5,Wind,62.56276
2026-06-01,2026,6,Wind,61.258812
2026-07-01,2026,7,Wind,60.46112
2026-08-01,2026,8,Wind,59.306927
2026-09-01,2026,9,Wind,58.43634
2026-10-01,2026,10,Wind,58.405087
2026-11-01,2026,11,Wind,59.32178
2026-12-01,2026,12,Wind,59.899597
2027-01-01,2027,1,Wind,60.25051
2027-02-01,2027,2,Wind,60.412907
2027-03-01,2027,3,Wind,60.319923
2027-04-01,2027,4,Wind,60.03989
2027-05-01,2027,5,Wind,59.745525
2027-06-01,2027,6,Wind,59.616997
2027-07-01,2027,7,Wind,59.61022
2027-08-01,2027,8,Wind,59.68572
2027-09-01,2027,9,Wind,59.801674
2027-10-01,2027,10,Wind,59.90328
2027-11-01,2027,11,Wind,59.950333
2027-12-01,2027,12,Wind,59.93726
2028-01-01,2028,1,Wind,59.89368
2028-02-01,2028,2,Wind,59.844986
2028-03-01,2028,3,Wind,59.80998
2028-04-01,2028,4,Wind,59.798405
2028-05-01,2028,5,Wind,59.80838
2028-06-01,2028,6,Wind,59.82937
2028-07-01,2028,7,Wind,59.849155
2028-08-01,2028,8,Wind,59.860703
2028-09-01,2028,9,Wind,59.862206
2028-10-01,2028,10,Wind,59.856037
2028-11-01,2028,11,Wind,59.84688
2028-12-01,2028,12,Wind,59.839283
