Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,392.8796
2026-02-01,2026,2,420.82712
2026-03-01,2026,3,432.21454
2026-04-01,2026,4,439.47003
2026-05-01,2026,5,423.39078
2026-06-01,2026,6,409.73444
2026-07-01,2026,7,400.842
2026-08-01,2026,8,393.42
2026-09-01,2026,9,394.15485
2026-10-01,2026,10,399.38113
2026-11-01,2026,11,407.9145
2026-12-01,2026,12,413.72726
2027-01-01,2027,1,416.18546
2027-02-01,2027,2,415.6679
2027-03-01,2027,3,412.23932
2027-04-01,2027,4,408.11017
2027-05-01,2027,5,404.80756
2027-06-01,2027,6,403.62463
2027-07-01,2027,7,404.30844
2027-08-01,2027,8,406.1894
2027-09-01,2027,9,408.44815
2027-10-01,2027,10,410.10785
2027-11-01,2027,11,410.70245
2027-12-01,2027,12,410.22083
2028-01-01,2028,1,409.11386
2028-02-01,2028,2,407.90997
2028-03-01,2028,3,407.0515
2028-04-01,2028,4,406.79022
2028-05-01,2028,5,407.08926
2028-06-01,2028,6,407.71945
2028-07-01,2028,7,408.37445
2028-08-01,2028,8,408.81458
2028-09-01,2028,9,408.92776
2028-10-01,2028,10,408.7406
2028-11-01,2028,11,408.3869
2028-12-01,2028,12,408.03156
