Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLTA,330.29144477079996
2026-02-01,2026,2,PLTA,313.6263162471665
2026-03-01,2026,3,PLTA,347.6486451129808
2026-04-01,2026,4,PLTA,329.15271826844787
2026-05-01,2026,5,PLTA,326.6935523726002
2026-06-01,2026,6,PLTA,305.6946951278951
2026-07-01,2026,7,PLTA,309.5060841128198
2026-08-01,2026,8,PLTA,308.4470554929262
2026-09-01,2026,9,PLTA,301.71612336132586
2026-10-01,2026,10,PLTA,316.80470390151015
2026-11-01,2026,11,PLTA,311.1911753054696
2026-12-01,2026,12,PLTA,324.30524210840844
2027-01-01,2027,1,PLTA,324.79711803982667
2027-02-01,2027,2,PLTA,292.20164434338045
2027-03-01,2027,3,PLTA,321.396691266101
2027-04-01,2027,4,PLTA,309.1423246820312
2027-05-01,2027,5,PLTA,318.25606922912135
2027-06-01,2027,6,PLTA,307.7593572972815
2027-07-01,2027,7,PLTA,318.520361820969
2027-08-01,2027,8,PLTA,319.37859398643025
2027-09-01,2027,9,PLTA,309.8668056457245
2027-10-01,2027,10,PLTA,320.7033877756267
2027-11-01,2027,11,PLTA,310.4723267808908
2027-12-01,2027,12,PLTA,320.62383353167576
2028-01-01,2028,1,PLTA,320.27262380860094
2028-02-01,2028,2,PLTA,299.29155624960515
2028-03-01,2028,3,PLTA,319.71563891684036
2028-04-01,2028,4,PLTA,309.348214082916
2028-05-01,2028,5,PLTA,319.7360446330058
2028-06-01,2028,6,PLTA,309.5608216943108
2028-07-01,2028,7,PLTA,320.0213039229066
2028-08-01,2028,8,PLTA,320.113620504803
2028-09-01,2028,9,PLTA,309.8126527973705
2028-10-01,2028,10,PLTA,320.1103247362127
2028-11-01,2028,11,PLTA,309.72762332495506
2028-12-01,2028,12,PLTA,319.99279903073733
2026-01-01,2026,1,PLTB,54.71280462663172
2026-02-01,2026,2,PLTB,51.28682165708541
2026-03-01,2026,3,PLTB,61.17453248863219
2026-04-01,2026,4,PLTB,63.450612376213066
2026-05-01,2026,5,PLTB,63.2020054819107
2026-06-01,2026,6,PLTB,59.82326725959777
2026-07-01,2026,7,PLTB,60.70028216042518
2026-08-01,2026,8,PLTB,59.72775055131911
2026-09-01,2026,9,PLTB,57.47656186580657
2026-10-01,2026,10,PLTB,59.723125726461404
2026-11-01,2026,11,PLTB,58.49803318119049
2026-12-01,2026,12,PLTB,60.87775545458793
2027-01-01,2027,1,PLTB,61.04997611961364
2027-02-01,2027,2,PLTB,55.096965828323356
2027-03-01,2027,3,PLTB,60.80703679032325
2027-04-01,2027,4,PLTB,58.643920044422146
2027-05-01,2027,5,PLTB,60.473247206211084
2027-06-01,2027,6,PLTB,58.51271570062637
2027-07-01,2027,7,PLTB,60.52129516038894
2027-08-01,2027,8,PLTB,60.59956840281485
2027-09-01,2027,9,PLTB,58.702697376251216
2027-10-01,2027,10,PLTB,60.68195725107192
2027-11-01,2027,11,PLTB,58.713376799583436
2027-12-01,2027,12,PLTB,60.64214748415946
2028-01-01,2028,1,PLTB,60.615654143571845
2028-02-01,2028,2,PLTB,56.691530642795556
2028-03-01,2028,3,PLTB,60.60065659689903
2028-04-01,2028,4,PLTB,58.65396491289138
2028-05-01,2028,5,PLTB,60.619762773799884
2028-06-01,2028,6,PLTB,58.671604187965386
2028-07-01,2028,7,PLTB,60.62967510581016
2028-08-01,2028,8,PLTB,60.62773588814735
2028-09-01,2028,9,PLTB,58.66827615022659
2028-10-01,2028,10,PLTB,60.62044638290405
2028-11-01,2028,11,PLTB,58.66328071832656
2028-12-01,2028,12,PLTB,60.61882106738089
2026-01-01,2026,1,PLTM,26.84980832550383
2026-02-01,2026,2,PLTM,25.63286734048831
2026-03-01,2026,3,PLTM,28.787471612049362
2026-04-01,2026,4,PLTM,27.931212187063526
2026-05-01,2026,5,PLTM,28.20946615251734
2026-06-01,2026,6,PLTM,26.852023752130687
2026-07-01,2026,7,PLTM,27.42731109696252
2026-08-01,2026,8,PLTM,27.21473841054033
2026-09-01,2026,9,PLTM,26.38522092318936
2026-10-01,2026,10,PLTM,27.42760228822451
2026-11-01,2026,11,PLTM,26.741680555987934
2026-12-01,2026,12,PLTM,27.76082624258732
2027-01-01,2027,1,PLTM,27.812695069275275
2027-02-01,2027,2,PLTM,25.107339984573397
2027-03-01,2027,3,PLTM,27.732896402805935
2027-04-01,2027,4,PLTM,26.77068795175341
2027-05-01,2027,5,PLTM,27.61325051101196
2027-06-01,2027,6,PLTM,26.706120615254065
2027-07-01,2027,7,PLTM,27.605149263586352
2027-08-01,2027,8,PLTM,27.628591692761947
2027-09-01,2027,9,PLTM,26.762121292691067
2027-10-01,2027,10,PLTM,27.671657347824333
2027-11-01,2027,11,PLTM,26.784763020053564
2027-12-01,2027,12,PLTM,27.673665034946463
2028-01-01,2028,1,PLTM,27.664717800275493
2028-02-01,2028,2,PLTM,25.8712548985785
2028-03-01,2028,3,PLTM,27.649284663390148
2028-04-01,2028,4,PLTM,26.755509421828883
2028-05-01,2028,5,PLTM,27.648959755245194
2028-06-01,2028,6,PLTM,26.760332616993487
2028-07-01,2028,7,PLTM,27.655712327352123
2028-08-01,2028,8,PLTM,27.657894729231444
2028-09-01,2028,9,PLTM,26.76629783561343
2028-10-01,2028,10,PLTM,27.657851816834945
2028-11-01,2028,11,PLTM,26.764437968843314
2028-12-01,2028,12,PLTM,27.65535983266656
2026-01-01,2026,1,PLTS,0.9957178194994927
2026-02-01,2026,2,PLTS,0.8946337278774261
2026-03-01,2026,3,PLTS,0.987352930385971
2026-04-01,2026,4,PLTS,0.9500832356300355
2026-05-01,2026,5,PLTS,0.9826364850657463
2026-06-01,2026,6,PLTS,0.9585300205364228
2026-07-01,2026,7,PLTS,1.0031858429228782
2026-08-01,2026,8,PLTS,1.0038080161477088
2026-09-01,2026,9,PLTS,0.9732166854743959
2026-10-01,2026,10,PLTS,1.008137877836609
2026-11-01,2026,11,PLTS,0.9785954867963791
2026-12-01,2026,12,PLTS,1.0142559840019227
2027-01-01,2027,1,PLTS,1.0167182147446632
2027-02-01,2027,2,PLTS,0.919745904468155
2027-03-01,2027,3,PLTS,1.019970976369858
2027-04-01,2027,4,PLTS,0.9886413602657318
2027-05-01,2027,5,PLTS,1.0230905937583925
2027-06-01,2027,6,PLTS,0.9913563358583452
2027-07-01,2027,7,PLTS,1.0255337939738274
2027-08-01,2027,8,PLTS,1.0265322715670586
2027-09-01,2027,9,PLTS,0.9943167770233154
2027-10-01,2027,10,PLTS,1.0282996796997073
2027-11-01,2027,11,PLTS,0.9958542303371429
2027-12-01,2027,12,PLTS,1.0297169678026201
2028-01-01,2028,1,PLTS,1.0303141374149323
2028-02-01,2028,2,PLTS,0.9643449578999519
2028-03-01,2028,3,PLTS,1.0313362295310975
2028-04-01,2028,4,PLTS,0.998488078617096
2028-05-01,2028,5,PLTS,1.032160515290451
2028-06-01,2028,6,PLTS,0.999203101278305
2028-07-01,2028,7,PLTS,1.0328235277490616
2028-08-01,2028,8,PLTS,1.0331053045712473
2028-09-01,2028,9,PLTS,1.0000241876506806
2028-10-01,2028,10,PLTS,1.0335853739315988
2028-11-01,2028,11,PLTS,1.0004411161680222
2028-12-01,2028,12,PLTS,1.0339720964718817
