Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,413.99518598366393
2026-02-01,2026,2,392.48035139572767
2026-03-01,2026,3,439.7510287857398
2026-04-01,2026,4,422.60156631268603
2026-05-01,2026,5,420.24158157013426
2026-06-01,2026,6,394.44736044754774
2026-07-01,2026,7,399.7985194999705
2026-08-01,2026,8,397.5546116746719
2026-09-01,2026,9,387.67121174208233
2026-10-01,2026,10,406.11306824243593
2026-11-01,2026,11,398.5165861361282
2026-12-01,2026,12,415.10400174180654
2027-01-01,2027,1,415.8280097957205
2027-02-01,2027,2,374.3657742855944
2027-03-01,2027,3,412.1080215026
2027-04-01,2027,4,396.65974772077067
2027-05-01,2027,5,408.51684842197716
2027-06-01,2027,6,395.0835046564077
2027-07-01,2027,7,408.8232902391307
2027-08-01,2027,8,409.7840068651973
2027-09-01,2027,9,397.4393440500017
2027-10-01,2027,10,411.23570110175774
2027-11-01,2027,11,398.07964875581547
2027-12-01,2027,12,411.1199394543338
2028-01-01,2028,1,410.7339739370688
2028-02-01,2028,2,383.89508970914017
2028-03-01,2028,3,410.1475297358275
2028-04-01,2028,4,396.8696532790104
2028-05-01,2028,5,410.18750336356317
2028-06-01,2028,6,397.1054088051702
2028-07-01,2028,7,410.49006616875016
2028-08-01,2028,8,410.5829000498469
2028-09-01,2028,9,397.36067738213524
2028-10-01,2028,10,410.572749767675
2028-11-01,2028,11,397.2692129245307
2028-12-01,2028,12,410.4514977323718
