Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLTA,362.6229
2026-02-01,2026,2,PLTA,391.4731
2026-03-01,2026,3,PLTA,394.3115
2026-04-01,2026,4,PLTA,381.2539
2026-05-01,2026,5,PLTA,377.6233
2026-06-01,2026,6,PLTA,342.2183
2026-07-01,2026,7,PLTA,343.5988
2026-08-01,2026,8,PLTA,301.124
2026-09-01,2026,9,PLTA,283.1594
2026-10-01,2026,10,PLTA,279.7123
2026-11-01,2026,11,PLTA,316.8895
2026-12-01,2026,12,PLTA,359.3852
2027-01-01,2027,1,PLTA,394.5109
2027-02-01,2027,2,PLTA,400.0683
2027-03-01,2027,3,PLTA,380.044
2027-04-01,2027,4,PLTA,365.4756
2027-05-01,2027,5,PLTA,367.6714
2027-06-01,2027,6,PLTA,337.2079
2027-07-01,2027,7,PLTA,342.0352
2027-08-01,2027,8,PLTA,301.4246
2027-09-01,2027,9,PLTA,284.0522
2027-10-01,2027,10,PLTA,280.5404
2027-11-01,2027,11,PLTA,317.4418
2027-12-01,2027,12,PLTA,359.7552
2028-01-01,2028,1,PLTA,394.7957
2028-02-01,2028,2,PLTA,400.2772
2028-03-01,2028,3,PLTA,380.1716
2028-04-01,2028,4,PLTA,365.5277
2028-05-01,2028,5,PLTA,367.6768
2028-06-01,2028,6,PLTA,337.2009
2028-07-01,2028,7,PLTA,342.029
2028-08-01,2028,8,PLTA,301.421
2028-09-01,2028,9,PLTA,284.0511
2028-10-01,2028,10,PLTA,280.5408
2028-11-01,2028,11,PLTA,317.4427
2028-12-01,2028,12,PLTA,359.756
2026-01-01,2026,1,PLTB,56.7939
2026-02-01,2026,2,PLTB,56.6532
2026-03-01,2026,3,PLTB,52.114
2026-04-01,2026,4,PLTB,48.1759
2026-05-01,2026,5,PLTB,51.9963
2026-06-01,2026,6,PLTB,56.7893
2026-07-01,2026,7,PLTB,64.5276
2026-08-01,2026,8,PLTB,75.6257
2026-09-01,2026,9,PLTB,74.9552
2026-10-01,2026,10,PLTB,63.3803
2026-11-01,2026,11,PLTB,51.5464
2026-12-01,2026,12,PLTB,49.8693
2027-01-01,2027,1,PLTB,50.1397
2027-02-01,2027,2,PLTB,50.591
2027-03-01,2027,3,PLTB,47.951
2027-04-01,2027,4,PLTB,45.6378
2027-05-01,2027,5,PLTB,51.8023
2027-06-01,2027,6,PLTB,56.8373
2027-07-01,2027,7,PLTB,64.3182
2027-08-01,2027,8,PLTB,75.052
2027-09-01,2027,9,PLTB,74.3155
2027-10-01,2027,10,PLTB,63.0136
2027-11-01,2027,11,PLTB,51.4203
2027-12-01,2027,12,PLTB,49.8758
2028-01-01,2028,1,PLTB,50.233
2028-02-01,2028,2,PLTB,50.7221
2028-03-01,2028,3,PLTB,48.0386
2028-04-01,2028,4,PLTB,45.6856
2028-05-01,2028,5,PLTB,51.8272
2028-06-01,2028,6,PLTB,56.8505
2028-07-01,2028,7,PLTB,64.3328
2028-08-01,2028,8,PLTB,75.0714
2028-09-01,2028,9,PLTB,74.3336
2028-10-01,2028,10,PLTB,63.0241
2028-11-01,2028,11,PLTB,51.4232
2028-12-01,2028,12,PLTB,49.8742
2026-01-01,2026,1,PLTM,28.7632
2026-02-01,2026,2,PLTM,31.6081
2026-03-01,2026,3,PLTM,32.1348
2026-04-01,2026,4,PLTM,31.6492
2026-05-01,2026,5,PLTM,31.9596
2026-06-01,2026,6,PLTM,30.8808
2026-07-01,2026,7,PLTM,29.132
2026-08-01,2026,8,PLTM,27.4178
2026-09-01,2026,9,PLTM,24.9563
2026-10-01,2026,10,PLTM,23.7333
2026-11-01,2026,11,PLTM,25.2962
2026-12-01,2026,12,PLTM,27.9464
2027-01-01,2027,1,PLTM,30.1316
2027-02-01,2027,2,PLTM,31.4173
2027-03-01,2027,3,PLTM,31.3752
2027-04-01,2027,4,PLTM,30.7865
2027-05-01,2027,5,PLTM,31.2543
2027-06-01,2027,6,PLTM,30.3798
2027-07-01,2027,7,PLTM,28.8602
2027-08-01,2027,8,PLTM,27.2883
2027-09-01,2027,9,PLTM,24.9199
2027-10-01,2027,10,PLTM,23.7323
2027-11-01,2027,11,PLTM,25.3066
2027-12-01,2027,12,PLTM,27.9579
2028-01-01,2028,1,PLTM,30.1418
2028-02-01,2028,2,PLTM,31.4252
2028-03-01,2028,3,PLTM,31.3806
2028-04-01,2028,4,PLTM,30.7895
2028-05-01,2028,5,PLTM,31.2556
2028-06-01,2028,6,PLTM,30.3802
2028-07-01,2028,7,PLTM,28.86
2028-08-01,2028,8,PLTM,27.288
2028-09-01,2028,9,PLTM,24.9196
2028-10-01,2028,10,PLTM,23.7321
2028-11-01,2028,11,PLTM,25.3065
2028-12-01,2028,12,PLTM,27.9578
2026-01-01,2026,1,PLTS,0.6581
2026-02-01,2026,2,PLTS,0.6124
2026-03-01,2026,3,PLTS,0.7331
2026-04-01,2026,4,PLTS,0.7779
2026-05-01,2026,5,PLTS,0.806
2026-06-01,2026,6,PLTS,0.7422
2026-07-01,2026,7,PLTS,0.8393
2026-08-01,2026,8,PLTS,1.066
2026-09-01,2026,9,PLTS,1.2017
2026-10-01,2026,10,PLTS,1.2048
2026-11-01,2026,11,PLTS,1.0198
2026-12-01,2026,12,PLTS,0.7475
2027-01-01,2027,1,PLTS,0.6007
2027-02-01,2027,2,PLTS,0.5377
2027-03-01,2027,3,PLTS,0.6655
2027-04-01,2027,4,PLTS,0.7176
2027-05-01,2027,5,PLTS,0.7563
2027-06-01,2027,6,PLTS,0.7047
2027-07-01,2027,7,PLTS,0.8092
2027-08-01,2027,8,PLTS,1.0401
2027-09-01,2027,9,PLTS,1.1795
2027-10-01,2027,10,PLTS,1.1868
2027-11-01,2027,11,PLTS,1.0073
2027-12-01,2027,12,PLTS,0.7402
2028-01-01,2028,1,PLTS,0.5967
2028-02-01,2028,2,PLTS,0.5357
2028-03-01,2028,3,PLTS,0.6643
2028-04-01,2028,4,PLTS,0.7169
2028-05-01,2028,5,PLTS,0.7559
2028-06-01,2028,6,PLTS,0.7045
2028-07-01,2028,7,PLTS,0.809
2028-08-01,2028,8,PLTS,1.04
2028-09-01,2028,9,PLTS,1.1795
