Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,449.6307
2026-02-01,2026,2,481.0876
2026-03-01,2026,3,480.1823
2026-04-01,2026,4,462.80219999999997
2026-05-01,2026,5,463.36659999999995
2026-06-01,2026,6,431.5365
2026-07-01,2026,7,439.1217
2026-08-01,2026,8,406.5319
2026-09-01,2026,9,385.7364
2026-10-01,2026,10,369.49980000000005
2026-11-01,2026,11,395.998
2026-12-01,2026,12,438.8648
2027-01-01,2027,1,476.1211
2027-02-01,2027,2,483.2755
2027-03-01,2027,3,460.8513
2027-04-01,2027,4,443.49649999999997
2027-05-01,2027,5,452.4109
2027-06-01,2027,6,425.9943
2027-07-01,2027,7,437.0138
2027-08-01,2027,8,406.0752
2027-09-01,2027,9,385.9069
2027-10-01,2027,10,369.92299999999994
2027-11-01,2027,11,396.409
2027-12-01,2027,12,439.2379
2028-01-01,2028,1,476.5014
2028-02-01,2028,2,483.6196
2028-03-01,2028,3,461.06980000000004
2028-04-01,2028,4,443.5983
2028-05-01,2028,5,452.44190000000003
2028-06-01,2028,6,426.00059999999996
2028-07-01,2028,7,437.0217
2028-08-01,2028,8,406.0906
2028-09-01,2028,9,385.9237
2028-10-01,2028,10,369.9337
2028-11-01,2028,11,396.41270000000003
2028-12-01,2028,12,439.23699999999997
