Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2013-01-01,2257.6961,5058.87,14.05,PLTA
2013-02-01,1913.0158,5058.87,9.76,PLTA
2013-03-01,1693.1381,5058.87,7.8,PLTA
2013-04-01,1427.4638,5058.87,9.09,PLTA
2013-05-01,1410.3235,5058.87,9.44,PLTA
2013-06-01,1341.2268,5058.87,6.51,PLTA
2013-07-01,1365.8659,5058.87,9.55,PLTA
2013-08-01,1025.2029,5058.87,3.08,PLTA
2013-09-01,822.7334,5058.87,2.73,PLTA
2013-10-01,592.4109,5058.87,5.25,PLTA
2013-11-01,1010.2052,5058.87,10.88,PLTA
2013-12-01,1714.0278,5058.87,15.87,PLTA
2014-01-01,2161.5948,5059.06,11.22,PLTA
2014-02-01,1714.634,5059.06,6.58,PLTA
2014-03-01,1556.0143,5059.06,6.43,PLTA
2014-04-01,1392.8993,5059.06,8.68,PLTA
2014-05-01,1430.1461,5059.06,7.16,PLTA
2014-06-01,1419.2289,5059.06,6.26,PLTA
2014-07-01,1085.2927,5059.06,3.48,PLTA
2014-08-01,824.5656,5059.06,3.1,PLTA
2014-09-01,455.9514,5059.06,0.52,PLTA
2014-10-01,375.6782,5059.06,2.23,PLTA
2014-11-01,715.3941,5059.06,8.39,PLTA
2014-12-01,1536.7488,5059.06,13.31,PLTA
2015-01-01,2088.8705,5068.59,9.41,PLTA
2015-02-01,1921.2725,5068.59,7.9,PLTA
2015-03-01,1710.0176,5068.59,5.8,PLTA
2015-04-01,1687.0793,5068.59,9.1,PLTA
2015-05-01,1429.5777,5068.59,4.42,PLTA
2015-06-01,1236.4515,5068.59,3.19,PLTA
2015-07-01,654.8531,5068.59,1.24,PLTA
2015-08-01,402.5312,5068.59,1.01,PLTA
2015-09-01,195.346,5068.59,0.39,PLTA
2015-10-01,200.5256,5068.59,1.31,PLTA
2015-11-01,409.1907,5068.59,3.83,PLTA
2015-12-01,1186.8751,5068.59,10.9,PLTA
2016-01-01,1373.7898,5343.59,7.21,PLTA
