Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2013-01-01,2305.3325,5165.61,14.05,Hydro
2013-02-01,1953.3796,5165.61,9.76,Hydro
2013-03-01,1728.8626,5165.61,7.8,Hydro
2013-04-01,1457.5827,5165.61,9.09,Hydro
2013-05-01,1440.0808,5165.61,9.44,Hydro
2013-06-01,1369.5261,5165.61,6.51,Hydro
2013-07-01,1394.6851,5165.61,9.55,Hydro
2013-08-01,1046.8343,5165.61,3.08,Hydro
2013-09-01,840.0927,5165.61,2.73,Hydro
2013-10-01,604.9105,5165.61,5.25,Hydro
2013-11-01,1031.5201,5165.61,10.88,Hydro
2013-12-01,1750.1931,5165.61,15.87,Hydro
2014-01-01,2234.3721,5229.39,11.22,Hydro
2014-02-01,1772.3629,5229.39,6.58,Hydro
2014-03-01,1608.4027,5229.39,6.43,Hydro
2014-04-01,1439.7959,5229.39,8.68,Hydro
2014-05-01,1478.2967,5229.39,7.16,Hydro
2014-06-01,1467.012,5229.39,6.26,Hydro
2014-07-01,1121.8327,5229.39,3.48,Hydro
2014-08-01,852.3273,5229.39,3.1,Hydro
2014-09-01,471.3025,5229.39,0.52,Hydro
2014-10-01,388.3267,5229.39,2.23,Hydro
2014-11-01,739.4802,5229.39,8.39,Hydro
2014-12-01,1588.4885,5229.39,13.31,Hydro
2015-01-01,2187.3097,5307.45,9.41,Hydro
2015-02-01,2011.8135,5307.45,7.9,Hydro
2015-03-01,1790.6031,5307.45,5.8,Hydro
2015-04-01,1766.5838,5307.45,9.1,Hydro
2015-05-01,1496.9473,5307.45,4.42,Hydro
2015-06-01,1294.72,5307.45,3.19,Hydro
2015-07-01,685.7134,5307.45,1.24,Hydro
2015-08-01,421.5007,5307.45,1.01,Hydro
2015-09-01,204.5518,5307.45,0.39,Hydro
2015-10-01,209.9755,5307.45,1.31,Hydro
2015-11-01,428.474,5307.45,3.83,Hydro
2015-12-01,1242.8072,5307.45,10.9,Hydro
2016-01-01,1452.7862,5650.86,7.21,Hydro
2016-02-01,1915.2195,5650.86,11.8,Hydro
2016-03-01,1798.6876,5650.86,7.77,Hydro
2016-04-01,1794.6577,5650.86,7.15,Hydro
2016-05-01,1548.1609,5650.86,8.13,Hydro
2016-06-01,1419.2035,5650.86,5.85,Hydro
2016-07-01,1312.4106,5650.86,5.56,Hydro
2016-08-01,935.6131,5650.86,2.52,Hydro
2016-09-01,949.7178,5650.86,6.06,Hydro
2016-10-01,1356.0681,5650.86,11.61,Hydro
2016-11-01,1924.2868,5650.86,10.98,Hydro
2016-12-01,2270.1883,5650.86,11.21,Hydro
2017-01-01,2752.8348,5687.9,12.89,Hydro
2017-02-01,2302.2156,5687.9,8.67,Hydro
2017-03-01,2023.1591,5687.9,6.86,Hydro
2017-04-01,1687.1524,5687.9,8.17,Hydro
2017-05-01,1478.572,5687.9,5.74,Hydro
2017-06-01,1326.2299,5687.9,4.72,Hydro
2017-07-01,1038.631,5687.9,4.13,Hydro
2017-08-01,830.7624,5687.9,2.82,Hydro
2017-09-01,696.2173,5687.9,2.83,Hydro
2017-10-01,824.3555,5687.9,5.93,Hydro
2017-11-01,1470.7413,5687.9,11.9,Hydro
2017-12-01,2201.1288,5687.9,13.09,Hydro
2018-01-01,2561.2459,5772.15,8.34,Hydro
2018-02-01,2645.6995,5772.15,8.89,Hydro
2018-03-01,2752.674,5772.15,9.66,Hydro
2018-04-01,2553.0565,5772.15,6.39,Hydro
2018-05-01,2240.8342,5772.15,5.84,Hydro
2018-06-01,1913.2568,5772.15,6.46,Hydro
2018-07-01,1356.3752,5772.15,0.95,Hydro
2018-08-01,845.5592,5772.15,0.85,Hydro
2018-09-01,420.7322,5772.15,2.31,Hydro
2018-10-01,705.3151,5772.15,3.73,Hydro
2018-11-01,1454.6485,5772.15,8.17,Hydro
2018-12-01,2187.6029,5772.15,9.47,Hydro
2019-01-01,3661.5222,5976.03,12.12,Hydro
2019-02-01,3116.2212,5976.03,8.51,Hydro
2019-03-01,2849.8646,5976.03,7.67,Hydro
2019-04-01,2718.9521,5976.03,10.82,Hydro
2019-05-01,2367.5024,5976.03,5.02,Hydro
