Tanggal,Produksi,Kapasitas,Cuaca,Jenis
1/1/2023,0.210144966,1.704,4.20015,PLT Hybrid
2/1/2023,0.209060062,1.704,4.05675,PLT Hybrid
3/1/2023,0.183661976,1.704,3.94565,PLT Hybrid
4/1/2023,0.181590709,1.704,3.8705,PLT Hybrid
5/1/2023,0.200906966,1.704,4.1429,PLT Hybrid
6/1/2023,0.186364097,1.704,3.87355,PLT Hybrid
7/1/2023,0.220226246,1.704,4.4781,PLT Hybrid
8/1/2023,0.262745306,1.704,5.37905,PLT Hybrid
9/1/2023,0.270584406,1.704,5.60525,PLT Hybrid
10/1/2023,0.238000128,1.704,5.1387,PLT Hybrid
11/1/2023,0.194408133,1.704,4.25495,PLT Hybrid
12/1/2023,0.182307004,1.704,3.91365,PLT Hybrid
1/1/2024,0.210144966,1.704,4.20015,PLT Hybrid
2/1/2024,0.209060062,1.704,4.05675,PLT Hybrid
3/1/2024,0.183661976,1.704,3.94565,PLT Hybrid
4/1/2024,0.181590709,1.704,3.8705,PLT Hybrid
5/1/2024,0.200906966,1.704,4.1429,PLT Hybrid
6/1/2024,0.186364097,1.704,3.87355,PLT Hybrid
7/1/2024,0.220226246,1.704,4.4781,PLT Hybrid
8/1/2024,0.262745306,1.704,5.37905,PLT Hybrid
9/1/2024,0.270584406,1.704,5.60525,PLT Hybrid
10/1/2024,0.238000128,1.704,5.1387,PLT Hybrid
11/1/2024,0.194408133,1.704,4.25495,PLT Hybrid
12/1/2024,0.182307004,1.704,3.91365,PLT Hybrid
1/1/2025,0.210144966,1.704,4.20015,PLT Hybrid
2/1/2025,0.209060062,1.704,4.05675,PLT Hybrid
3/1/2025,0.183661976,1.704,3.94565,PLT Hybrid
4/1/2025,0.181590709,1.704,3.8705,PLT Hybrid
5/1/2025,0.200906966,1.704,4.1429,PLT Hybrid
6/1/2025,0.186364097,1.704,3.87355,PLT Hybrid
7/1/2025,0.220226246,1.704,4.4781,PLT Hybrid
8/1/2025,0.262745306,1.704,5.37905,PLT Hybrid
9/1/2025,0.270584406,1.704,5.60525,PLT Hybrid
10/1/2025,0.238000128,1.704,5.1387,PLT Hybrid
11/1/2025,0.194408133,1.704,4.25495,PLT Hybrid
12/1/2025,0.182307004,1.704,3.91365,PLT Hybrid
1/1/2023,37.59376888,653.4,290,PLTA
2/1/2023,31.50098565,653.4,243,PLTA
3/1/2023,35.13072885,653.4,271,PLTA
4/1/2023,31.76025302,653.4,245,PLTA
5/1/2023,29.81574773,653.4,230,PLTA
6/1/2023,26.83417296,653.4,207,PLTA
7/1/2023,22.42662764,653.4,173,PLTA
8/1/2023,19.1857855,653.4,148,PLTA
9/1/2023,19.83395393,653.4,153,PLTA
10/1/2023,25.14893505,653.4,194,PLTA
11/1/2023,31.37135196,653.4,242,PLTA
12/1/2023,32.66768882,653.4,252,PLTA
1/1/2024,408.4597432,709.6,290,PLTA
2/1/2024,342.2610952,709.6,243,PLTA
3/1/2024,381.6985876,709.6,271,PLTA
4/1/2024,345.0780589,709.6,245,PLTA
5/1/2024,323.9508308,709.6,230,PLTA
6/1/2024,291.5557477,709.6,207,PLTA
7/1/2024,243.667364,709.6,173,PLTA
8/1/2024,208.4553172,709.6,148,PLTA
9/1/2024,215.4977266,709.6,153,PLTA
10/1/2024,273.2454834,709.6,194,PLTA
11/1/2024,340.8526133,709.6,242,PLTA
12/1/2024,354.937432,709.6,252,PLTA
1/1/2025,408.4597432,709.6,290,PLTA
2/1/2025,342.2610952,709.6,243,PLTA
3/1/2025,381.6985876,709.6,271,PLTA
4/1/2025,345.0780589,709.6,245,PLTA
5/1/2025,323.9508308,709.6,230,PLTA
6/1/2025,291.5557477,709.6,207,PLTA
7/1/2025,243.667364,709.6,173,PLTA
8/1/2025,208.4553172,709.6,148,PLTA
9/1/2025,215.4977266,709.6,153,PLTA
10/1/2025,273.2454834,709.6,194,PLTA
11/1/2025,340.8526133,709.6,242,PLTA
12/1/2025,354.937432,709.6,252,PLTA
1/1/2023,54.32540816,130,3.74,PLTB
2/1/2023,59.11882653,130,4.07,PLTB
3/1/2023,36.02326531,130,2.48,PLTB
4/1/2023,36.89479592,130,2.54,PLTB
5/1/2023,46.62688776,130,3.21,PLTB
6/1/2023,41.97872449,130,2.89,PLTB
7/1/2023,53.74438776,130,3.7,PLTB
8/1/2023,62.60494898,130,4.31,PLTB
9/1/2023,61.73341837,130,4.25,PLTB
10/1/2023,45.61010204,130,3.14,PLTB
11/1/2023,34.86122449,130,2.4,PLTB
12/1/2023,35.8780102,130,2.47,PLTB
1/1/2024,59.75794898,143,3.74,PLTB
2/1/2024,65.03070918,143,4.07,PLTB
3/1/2024,39.62559184,143,2.48,PLTB
4/1/2024,40.58427551,143,2.54,PLTB
5/1/2024,51.28957653,143,3.21,PLTB
6/1/2024,46.17659694,143,2.89,PLTB
7/1/2024,59.11882653,143,3.7,PLTB
8/1/2024,68.86544388,143,4.31,PLTB
9/1/2024,67.9067602,143,4.25,PLTB
10/1/2024,50.17111224,143,3.14,PLTB
11/1/2024,38.34734694,143,2.4,PLTB
12/1/2024,39.46581122,143,2.47,PLTB
1/1/2025,59.75794898,143,3.74,PLTB
2/1/2025,65.03070918,143,4.07,PLTB
3/1/2025,39.62559184,143,2.48,PLTB
4/1/2025,40.58427551,143,2.54,PLTB
5/1/2025,51.28957653,143,3.21,PLTB
6/1/2025,46.17659694,143,2.89,PLTB
7/1/2025,59.11882653,143,3.7,PLTB
8/1/2025,68.86544388,143,4.31,PLTB
9/1/2025,67.9067602,143,4.25,PLTB
10/1/2025,50.17111224,143,3.14,PLTB
11/1/2025,38.34734694,143,2.4,PLTB
12/1/2025,39.46581122,143,2.47,PLTB
1/1/2023,36.9717145,64.23,290,PLTM
2/1/2023,30.97974698,64.23,243,PLTM
3/1/2023,34.54942976,64.23,271,PLTM
4/1/2023,31.23472432,64.23,245,PLTM
5/1/2023,29.32239426,64.23,230,PLTM
6/1/2023,26.39015483,64.23,207,PLTM
7/1/2023,22.05554003,64.23,173,PLTM
8/1/2023,18.86832326,64.23,148,PLTM
9/1/2023,19.50576662,64.23,153,PLTM
10/1/2023,24.73280211,64.23,194,PLTM
11/1/2023,30.85225831,64.23,242,PLTM
12/1/2023,32.12714502,64.23,252,PLTM
1/1/2024,38.3538142,66.63,290,PLTM
2/1/2024,32.13785121,66.63,243,PLTM
3/1/2024,35.8409781,66.63,271,PLTM
4/1/2024,32.40236027,66.63,245,PLTM
5/1/2024,30.4185423,66.63,230,PLTM
6/1/2024,27.37668807,66.63,207,PLTM
7/1/2024,22.88003399,66.63,173,PLTM
8/1/2024,19.57367069,66.63,148,PLTM
9/1/2024,20.23494335,66.63,153,PLTM
10/1/2024,25.65737915,66.63,194,PLTM
11/1/2024,32.00559668,66.63,242,PLTM
12/1/2024,33.32814199,66.63,252,PLTM
1/1/2025,3.308496979,66.63,290,PLTM
2/1/2025,2.772292296,66.63,243,PLTM
3/1/2025,3.091733384,66.63,271,PLTM
4/1/2025,2.795109517,66.63,245,PLTM
5/1/2025,2.623980363,66.63,230,PLTM
6/1/2025,2.361582326,66.63,207,PLTM
7/1/2025,1.973689577,66.63,173,PLTM
8/1/2025,1.68847432,66.63,148,PLTM
9/1/2025,1.745517372,66.63,153,PLTM
10/1/2025,2.213270393,66.63,194,PLTM
11/1/2025,2.760883686,66.63,242,PLTM
12/1/2025,2.874969789,66.63,252,PLTM
1/1/2023,22.82654834,39.66,290,PLTMH
2/1/2023,19.12707326,39.66,243,PLTMH
3/1/2023,21.33101586,39.66,271,PLTMH
4/1/2023,19.28449773,39.66,245,PLTMH
5/1/2023,18.1038142,39.66,230,PLTMH
6/1/2023,16.29343278,39.66,207,PLTMH
7/1/2023,13.61721677,39.66,173,PLTMH
8/1/2023,11.64941088,39.66,148,PLTMH
9/1/2023,12.04297205,39.66,153,PLTMH
10/1/2023,15.27017372,39.66,194,PLTMH
11/1/2023,19.04836103,39.66,242,PLTMH
12/1/2023,19.83548338,39.66,252,PLTMH
1/1/2024,22.82654834,39.66,290,PLTMH
2/1/2024,19.12707326,39.66,243,PLTMH
3/1/2024,21.33101586,39.66,271,PLTMH
4/1/2024,19.28449773,39.66,245,PLTMH
5/1/2024,18.1038142,39.66,230,PLTMH
6/1/2024,16.29343278,39.66,207,PLTMH
7/1/2024,13.61721677,39.66,173,PLTMH
8/1/2024,11.64941088,39.66,148,PLTMH
9/1/2024,12.04297205,39.66,153,PLTMH
10/1/2024,15.27017372,39.66,194,PLTMH
11/1/2024,19.04836103,39.66,242,PLTMH
12/1/2024,19.83548338,39.66,252,PLTMH
1/1/2025,22.82654834,39.66,290,PLTMH
2/1/2025,19.12707326,39.66,243,PLTMH
3/1/2025,21.33101586,39.66,271,PLTMH
4/1/2025,19.28449773,39.66,245,PLTMH
5/1/2025,18.1038142,39.66,230,PLTMH
6/1/2025,16.29343278,39.66,207,PLTMH
7/1/2025,13.61721677,39.66,173,PLTMH
8/1/2025,11.64941088,39.66,148,PLTMH
9/1/2025,12.04297205,39.66,153,PLTMH
10/1/2025,15.27017372,39.66,194,PLTMH
11/1/2025,19.04836103,39.66,242,PLTMH
12/1/2025,19.83548338,39.66,252,PLTMH
1/1/2023,0.630542827,5.14,4.6603,PLTS
