Tanggal,Produksi,Kapasitas,Cuaca,Jenis
1/1/2023,0.210144966,1.704,4.20015,PLT Hybrid
2/1/2023,0.209060062,1.704,4.05675,PLT Hybrid
3/1/2023,0.183661976,1.704,3.94565,PLT Hybrid
4/1/2023,0.181590709,1.704,3.8705,PLT Hybrid
5/1/2023,0.200906966,1.704,4.1429,PLT Hybrid
6/1/2023,0.186364097,1.704,3.87355,PLT Hybrid
7/1/2023,0.220226246,1.704,4.4781,PLT Hybrid
8/1/2023,0.262745306,1.704,5.37905,PLT Hybrid
9/1/2023,0.270584406,1.704,5.60525,PLT Hybrid
10/1/2023,0.238000128,1.704,5.1387,PLT Hybrid
11/1/2023,0.194408133,1.704,4.25495,PLT Hybrid
12/1/2023,0.182307004,1.704,3.91365,PLT Hybrid
1/1/2024,0.202120346,1.704,4.20015,PLT Hybrid
2/1/2024,0.220064994,1.704,4.05675,PLT Hybrid
3/1/2024,0.195101221,1.704,3.94565,PLT Hybrid
4/1/2024,0.166264016,1.704,3.8705,PLT Hybrid
5/1/2024,0.190562888,1.704,4.1429,PLT Hybrid
6/1/2024,0.190288163,1.704,3.87355,PLT Hybrid
7/1/2024,0.219902124,1.704,4.4781,PLT Hybrid
8/1/2024,0.266349766,1.704,5.37905,PLT Hybrid
9/1/2024,0.262817845,1.704,5.60525,PLT Hybrid
10/1/2024,0.252085292,1.704,5.1387,PLT Hybrid
11/1/2024,0.204911422,1.704,4.25495,PLT Hybrid
12/1/2024,0.185574018,1.704,3.91365,PLT Hybrid
1/1/2025,0.220844095,1.704,4.20015,PLT Hybrid
2/1/2025,0.205461694,1.704,4.05675,PLT Hybrid
3/1/2025,0.192081461,1.704,3.94565,PLT Hybrid
4/1/2025,0.177536583,1.704,3.8705,PLT Hybrid
5/1/2025,0.215374885,1.704,4.1429,PLT Hybrid
6/1/2025,0.190901159,1.704,3.87355,PLT Hybrid
7/1/2025,0.224061878,1.704,4.4781,PLT Hybrid
8/1/2025,0.260629155,1.704,5.37905,PLT Hybrid
9/1/2025,0.294850559,1.704,5.60525,PLT Hybrid
10/1/2025,0.242515998,1.704,5.1387,PLT Hybrid
11/1/2025,0.195363832,1.704,4.25495,PLT Hybrid
12/1/2025,0.183916441,1.704,3.91365,PLT Hybrid
1/1/2023,37.59376888,653.4,290,PLTA
2/1/2023,31.50098565,653.4,243,PLTA
3/1/2023,35.13072885,653.4,271,PLTA
4/1/2023,31.76025302,653.4,245,PLTA
5/1/2023,29.81574773,653.4,230,PLTA
6/1/2023,26.83417296,653.4,207,PLTA
7/1/2023,22.42662764,653.4,173,PLTA
8/1/2023,19.1857855,653.4,148,PLTA
9/1/2023,19.83395393,653.4,153,PLTA
10/1/2023,25.14893505,653.4,194,PLTA
11/1/2023,31.37135196,653.4,242,PLTA
12/1/2023,32.66768882,653.4,252,PLTA
1/1/2024,42.69356339,709.6,290,PLTA
2/1/2024,35.84095534,709.6,243,PLTA
3/1/2024,39.99922794,709.6,271,PLTA
4/1/2024,38.59439421,709.6,245,PLTA
5/1/2024,32.83005519,709.6,230,PLTA
6/1/2024,29.41990689,709.6,207,PLTA
7/1/2024,24.2848916,709.6,173,PLTA
8/1/2024,22.00364441,709.6,148,PLTA
9/1/2024,23.20254887,709.6,153,PLTA
10/1/2024,28.02074517,709.6,194,PLTA
11/1/2024,33.93371592,709.6,242,PLTA
12/1/2024,35.35886207,709.6,252,PLTA
1/1/2025,43.42892563,709.6,290,PLTA
2/1/2025,36.10758507,709.6,243,PLTA
3/1/2025,38.36270198,709.6,271,PLTA
4/1/2025,35.96153161,709.6,245,PLTA
5/1/2025,33.60530273,709.6,230,PLTA
6/1/2025,30.36760121,709.6,207,PLTA
7/1/2025,26.03659334,709.6,173,PLTA
8/1/2025,21.716326,709.6,148,PLTA
9/1/2025,22.85523649,709.6,153,PLTA
10/1/2025,28.28992308,709.6,194,PLTA
11/1/2025,35.60137044,709.6,242,PLTA
12/1/2025,37.57410271,709.6,252,PLTA
1/1/2023,54.32540816,130,3.74,PLTB
2/1/2023,59.11882653,130,4.07,PLTB
3/1/2023,36.02326531,130,2.48,PLTB
4/1/2023,36.89479592,130,2.54,PLTB
5/1/2023,46.62688776,130,3.21,PLTB
6/1/2023,41.97872449,130,2.89,PLTB
7/1/2023,53.74438776,130,3.7,PLTB
8/1/2023,62.60494898,130,4.31,PLTB
9/1/2023,61.73341837,130,4.25,PLTB
10/1/2023,45.61010204,130,3.14,PLTB
11/1/2023,34.86122449,130,2.4,PLTB
12/1/2023,35.8780102,130,2.47,PLTB
1/1/2024,58.07588092,143,3.74,PLTB
2/1/2024,62.61758635,143,4.07,PLTB
3/1/2024,37.75822365,143,2.48,PLTB
4/1/2024,39.54934759,143,2.54,PLTB
5/1/2024,55.37906152,143,3.21,PLTB
6/1/2024,43.377464,143,2.89,PLTB
7/1/2024,61.981502,143,3.7,PLTB
8/1/2024,61.34588129,143,4.31,PLTB
9/1/2024,65.93389874,143,4.25,PLTB
10/1/2024,50.19784257,143,3.14,PLTB
11/1/2024,39.33320468,143,2.4,PLTB
12/1/2024,40.77372039,143,2.47,PLTB
1/1/2025,60.60609224,143,3.74,PLTB
2/1/2025,65.49443331,143,4.07,PLTB
3/1/2025,43.15987271,143,2.48,PLTB
4/1/2025,41.55736449,143,2.54,PLTB
5/1/2025,49.06260708,143,3.21,PLTB
6/1/2025,44.58031164,143,2.89,PLTB
7/1/2025,57.86084476,143,3.7,PLTB
8/1/2025,73.46334768,143,4.31,PLTB
9/1/2025,70.94348203,143,4.25,PLTB
10/1/2025,54.12369291,143,3.14,PLTB
11/1/2025,38.70445013,143,2.4,PLTB
12/1/2025,41.27020809,143,2.47,PLTB
1/1/2023,36.9717145,64.23,290,PLTM
2/1/2023,30.97974698,64.23,243,PLTM
3/1/2023,34.54942976,64.23,271,PLTM
4/1/2023,31.23472432,64.23,245,PLTM
5/1/2023,29.32239426,64.23,230,PLTM
6/1/2023,26.39015483,64.23,207,PLTM
7/1/2023,22.05554003,64.23,173,PLTM
8/1/2023,18.86832326,64.23,148,PLTM
9/1/2023,19.50576662,64.23,153,PLTM
10/1/2023,24.73280211,64.23,194,PLTM
11/1/2023,30.85225831,64.23,242,PLTM
12/1/2023,32.12714502,64.23,252,PLTM
1/1/2024,38.3538142,66.63,290,PLTM
2/1/2024,32.13785121,66.63,243,PLTM
3/1/2024,35.8409781,66.63,271,PLTM
4/1/2024,32.40236027,66.63,245,PLTM
5/1/2024,30.4185423,66.63,230,PLTM
6/1/2024,27.37668807,66.63,207,PLTM
7/1/2024,22.88003399,66.63,173,PLTM
8/1/2024,19.57367069,66.63,148,PLTM
9/1/2024,20.23494335,66.63,153,PLTM
10/1/2024,25.65737915,66.63,194,PLTM
11/1/2024,32.00559668,66.63,242,PLTM
12/1/2024,33.32814199,66.63,252,PLTM
1/1/2025,38.99226723,66.63,290,PLTM
2/1/2025,33.68663012,66.63,243,PLTM
3/1/2025,35.91727712,66.63,271,PLTM
4/1/2025,32.87008786,66.63,245,PLTM
5/1/2025,30.83423184,66.63,230,PLTM
6/1/2025,26.83311667,66.63,207,PLTM
7/1/2025,24.01111122,66.63,173,PLTM
8/1/2025,19.77050447,66.63,148,PLTM
9/1/2025,20.83993387,66.63,153,PLTM
10/1/2025,26.9191775,66.63,194,PLTM
11/1/2025,33.53450196,66.63,242,PLTM
12/1/2025,35.220558,66.63,252,PLTM
1/1/2023,22.82654834,39.66,290,PLTMH
2/1/2023,19.12707326,39.66,243,PLTMH
3/1/2023,21.33101586,39.66,271,PLTMH
4/1/2023,19.28449773,39.66,245,PLTMH
5/1/2023,18.1038142,39.66,230,PLTMH
6/1/2023,16.29343278,39.66,207,PLTMH
7/1/2023,13.61721677,39.66,173,PLTMH
8/1/2023,11.64941088,39.66,148,PLTMH
9/1/2023,12.04297205,39.66,153,PLTMH
10/1/2023,15.27017372,39.66,194,PLTMH
11/1/2023,19.04836103,39.66,242,PLTMH
12/1/2023,19.83548338,39.66,252,PLTMH
1/1/2024,22.63130098,39.66,290,PLTMH
2/1/2024,19.22857705,39.66,243,PLTMH
3/1/2024,20.06084161,39.66,271,PLTMH
4/1/2024,18.32306689,39.66,245,PLTMH
5/1/2024,17.29210821,39.66,230,PLTMH
6/1/2024,15.77681486,39.66,207,PLTMH
7/1/2024,13.9528808,39.66,173,PLTMH
8/1/2024,11.32316761,39.66,148,PLTMH
9/1/2024,11.96189029,39.66,153,PLTMH
10/1/2024,16.20065821,39.66,194,PLTMH
11/1/2024,18.93694155,39.66,242,PLTMH
12/1/2024,20.59468186,39.66,252,PLTMH
1/1/2025,22.54831868,39.66,290,PLTMH
2/1/2025,18.32654821,39.66,243,PLTMH
3/1/2025,20.95748236,39.66,271,PLTMH
4/1/2025,19.85287875,39.66,245,PLTMH
5/1/2025,16.78548692,39.66,230,PLTMH
6/1/2025,16.51018592,39.66,207,PLTMH
7/1/2025,13.69166319,39.66,173,PLTMH
8/1/2025,11.32701229,39.66,148,PLTMH
9/1/2025,11.30094477,39.66,153,PLTMH
10/1/2025,15.25290868,39.66,194,PLTMH
11/1/2025,18.57026309,39.66,242,PLTMH
12/1/2025,19.93992742,39.66,252,PLTMH
1/1/2023,0.630542827,5.14,4.6603,PLTS
