Tanggal,Produksi,Kapasitas,Cuaca,Jenis
2023-01-01,308.1843,653.4,7.79,PLTA
2023-02-01,277.9197,653.4,6.26,PLTA
2023-03-01,320.5803,653.4,10.26,PLTA
2023-04-01,371.0871,653.4,11.62,PLTA
2023-05-01,431.88,653.4,10.87,PLTA
2023-06-01,406.165,653.4,8.31,PLTA
2023-07-01,314.5142,653.4,4.67,PLTA
2023-08-01,235.6548,653.4,4.89,PLTA
2023-09-01,180.005,653.4,4.09,PLTA
2023-10-01,147.1689,653.4,2.18,PLTA
2023-11-01,198.3351,653.4,8.77,PLTA
2023-12-01,242.7759,653.4,7.46,PLTA
2024-01-01,341.1097,709.6,13.69,PLTA
2024-02-01,389.5727,709.6,17.58,PLTA
2024-03-01,345.4286,709.6,10.32,PLTA
2024-04-01,346.1761,709.6,13.78,PLTA
2024-05-01,355.9767,709.6,18.76,PLTA
2024-06-01,353.0698,709.6,9.97,PLTA
2024-07-01,404.9796,709.6,20.03,PLTA
2024-08-01,314.9472,709.6,7.92,PLTA
2024-09-01,261.9577,709.6,3.59,PLTA
2024-10-01,154.7328,709.6,7.12,PLTA
2024-11-01,182.1411,709.6,11.22,PLTA
2024-12-01,279.5655,709.6,15.32,PLTA
2025-01-01,557.2776,790.634602,11.22,PLTA
2025-02-01,513.5695,790.634602,9.46,PLTA
2025-03-01,486.0864,790.634602,8.68,PLTA
2025-04-01,400.9882,790.634602,6.08,PLTA
2025-05-01,373.0084,790.634602,7.77,PLTA
2025-06-01,308.2742,790.634602,4.77,PLTA
2025-07-01,278.4732,790.634602,4.28,PLTA
2025-08-01,223.8382,790.634602,4.47,PLTA
2025-09-01,211.2555,790.634602,4.01,PLTA
2025-10-01,235.9241,790.634602,5.77,PLTA
2025-11-01,260.7582,790.634602,5.97,PLTA
2025-12-01,306.1219,790.634602,6.75,PLTA
2023-01-01,50.933,130.0,2.62,PLTB
2023-02-01,53.6546,130.0,2.76,PLTB
2023-03-01,36.1586,130.0,1.86,PLTB
2023-04-01,35.3809,130.0,1.82,PLTB
2023-05-01,41.6018,130.0,2.14,PLTB
2023-06-01,44.3234,130.0,2.28,PLTB
2023-07-01,50.3498,130.0,2.59,PLTB
2023-08-01,65.7075,130.0,3.38,PLTB
2023-09-01,67.8459,130.0,3.49,PLTB
2023-10-01,58.709,130.0,3.02,PLTB
2023-11-01,31.6873,130.0,1.63,PLTB
2023-12-01,33.0481,130.0,1.7,PLTB
2024-01-01,50.6851,143.0,2.21,PLTB
2024-02-01,43.3461,143.0,1.89,PLTB
2024-03-01,36.9245,143.0,1.61,PLTB
2024-04-01,33.4843,143.0,1.46,PLTB
2024-05-01,58.9416,143.0,2.57,PLTB
2024-06-01,56.8775,143.0,2.48,PLTB
2024-07-01,64.6752,143.0,2.82,PLTB
2024-08-01,74.9957,143.0,3.27,PLTB
2024-09-01,58.9416,143.0,2.57,PLTB
2024-10-01,49.7678,143.0,2.17,PLTB
2024-11-01,41.282,143.0,1.8,PLTB
2024-12-01,56.4188,143.0,2.46,PLTB
2025-01-01,57.639,157.3,2.14,PLTB
2025-02-01,56.8309,157.3,2.11,PLTB
2025-03-01,51.7135,157.3,1.92,PLTB
2025-04-01,42.5559,157.3,1.58,PLTB
2025-05-01,48.212,157.3,1.79,PLTB
2025-06-01,58.9857,157.3,2.19,PLTB
2025-07-01,61.4097,157.3,2.28,PLTB
2025-08-01,74.6074,157.3,2.77,PLTB
2025-09-01,77.0315,157.3,2.86,PLTB
2025-10-01,48.4814,157.3,1.8,PLTB
2025-11-01,54.4069,157.3,2.02,PLTB
2025-12-01,57.1003,157.3,2.12,PLTB
2023-01-01,30.2949,64.23,7.79,PLTM
2023-02-01,27.3198,64.23,6.26,PLTM
2023-03-01,31.5134,64.23,10.26,PLTM
2023-04-01,36.4783,64.23,11.62,PLTM
2023-05-01,42.4543,64.23,10.87,PLTM
