Tahun,Bulan,Kategori,Parameter_Cuaca,Nilai_Cuaca,Lat,Lon
2013,1,Hydro,PRECTOTCORR,14.05,-4.4,107.95
2013,2,Hydro,PRECTOTCORR,9.76,-4.4,107.95
2013,3,Hydro,PRECTOTCORR,7.8,-4.4,107.95
2013,4,Hydro,PRECTOTCORR,9.09,-4.4,107.95
2013,5,Hydro,PRECTOTCORR,9.44,-4.4,107.95
2013,6,Hydro,PRECTOTCORR,6.51,-4.4,107.95
2013,7,Hydro,PRECTOTCORR,9.55,-4.4,107.95
2013,8,Hydro,PRECTOTCORR,3.08,-4.4,107.95
2013,9,Hydro,PRECTOTCORR,2.73,-4.4,107.95
2013,10,Hydro,PRECTOTCORR,5.25,-4.4,107.95
2013,11,Hydro,PRECTOTCORR,10.88,-4.4,107.95
2013,12,Hydro,PRECTOTCORR,15.87,-4.4,107.95
2014,1,Hydro,PRECTOTCORR,11.22,-4.4,107.95
2014,2,Hydro,PRECTOTCORR,6.58,-4.4,107.95
2014,3,Hydro,PRECTOTCORR,6.43,-4.4,107.95
2014,4,Hydro,PRECTOTCORR,8.68,-4.4,107.95
2014,5,Hydro,PRECTOTCORR,7.16,-4.4,107.95
2014,6,Hydro,PRECTOTCORR,6.26,-4.4,107.95
2014,7,Hydro,PRECTOTCORR,3.48,-4.4,107.95
2014,8,Hydro,PRECTOTCORR,3.1,-4.4,107.95
2014,9,Hydro,PRECTOTCORR,0.52,-4.4,107.95
2014,10,Hydro,PRECTOTCORR,2.23,-4.4,107.95
2014,11,Hydro,PRECTOTCORR,8.39,-4.4,107.95
2014,12,Hydro,PRECTOTCORR,13.31,-4.4,107.95
2015,1,Hydro,PRECTOTCORR,9.41,-4.4,107.95
2015,2,Hydro,PRECTOTCORR,7.9,-4.4,107.95
2015,3,Hydro,PRECTOTCORR,5.8,-4.4,107.95
2015,4,Hydro,PRECTOTCORR,9.1,-4.4,107.95
2015,5,Hydro,PRECTOTCORR,4.42,-4.4,107.95
2015,6,Hydro,PRECTOTCORR,3.19,-4.4,107.95
2015,7,Hydro,PRECTOTCORR,1.24,-4.4,107.95
2015,8,Hydro,PRECTOTCORR,1.01,-4.4,107.95
2015,9,Hydro,PRECTOTCORR,0.39,-4.4,107.95
2015,10,Hydro,PRECTOTCORR,1.31,-4.4,107.95
2015,11,Hydro,PRECTOTCORR,3.83,-4.4,107.95
2015,12,Hydro,PRECTOTCORR,10.9,-4.4,107.95
2016,1,Hydro,PRECTOTCORR,7.21,-4.4,107.95
2016,2,Hydro,PRECTOTCORR,11.8,-4.4,107.95
2016,3,Hydro,PRECTOTCORR,7.77,-4.4,107.95
2016,4,Hydro,PRECTOTCORR,7.15,-4.4,107.95
2016,5,Hydro,PRECTOTCORR,8.13,-4.4,107.95
2016,6,Hydro,PRECTOTCORR,5.85,-4.4,107.95
2016,7,Hydro,PRECTOTCORR,5.56,-4.4,107.95
2016,8,Hydro,PRECTOTCORR,2.52,-4.4,107.95
2016,9,Hydro,PRECTOTCORR,6.06,-4.4,107.95
2016,10,Hydro,PRECTOTCORR,11.61,-4.4,107.95
2016,11,Hydro,PRECTOTCORR,10.98,-4.4,107.95
2016,12,Hydro,PRECTOTCORR,11.21,-4.4,107.95
2017,1,Hydro,PRECTOTCORR,12.89,-4.4,107.95
2017,2,Hydro,PRECTOTCORR,8.67,-4.4,107.95
2017,3,Hydro,PRECTOTCORR,6.86,-4.4,107.95
2017,4,Hydro,PRECTOTCORR,8.17,-4.4,107.95
2017,5,Hydro,PRECTOTCORR,5.74,-4.4,107.95
2017,6,Hydro,PRECTOTCORR,4.72,-4.4,107.95
2017,7,Hydro,PRECTOTCORR,4.13,-4.4,107.95
2017,8,Hydro,PRECTOTCORR,2.82,-4.4,107.95
2017,9,Hydro,PRECTOTCORR,2.83,-4.4,107.95
2017,10,Hydro,PRECTOTCORR,5.93,-4.4,107.95
2017,11,Hydro,PRECTOTCORR,11.9,-4.4,107.95
2017,12,Hydro,PRECTOTCORR,13.09,-4.4,107.95
2018,1,Hydro,PRECTOTCORR,8.34,-4.4,107.95
2018,2,Hydro,PRECTOTCORR,8.89,-4.4,107.95
2018,3,Hydro,PRECTOTCORR,9.66,-4.4,107.95
2018,4,Hydro,PRECTOTCORR,6.39,-4.4,107.95
2018,5,Hydro,PRECTOTCORR,5.84,-4.4,107.95
2018,6,Hydro,PRECTOTCORR,6.46,-4.4,107.95
2018,7,Hydro,PRECTOTCORR,0.95,-4.4,107.95
2018,8,Hydro,PRECTOTCORR,0.85,-4.4,107.95
2018,9,Hydro,PRECTOTCORR,2.31,-4.4,107.95
2018,10,Hydro,PRECTOTCORR,3.73,-4.4,107.95
2018,11,Hydro,PRECTOTCORR,8.17,-4.4,107.95
2018,12,Hydro,PRECTOTCORR,9.47,-4.4,107.95
2019,1,Hydro,PRECTOTCORR,12.12,-4.4,107.95
2019,2,Hydro,PRECTOTCORR,8.51,-4.4,107.95
2019,3,Hydro,PRECTOTCORR,7.67,-4.4,107.95
2019,4,Hydro,PRECTOTCORR,10.82,-4.4,107.95
2019,5,Hydro,PRECTOTCORR,5.02,-4.4,107.95
2019,6,Hydro,PRECTOTCORR,3.68,-4.4,107.95
2019,7,Hydro,PRECTOTCORR,1.41,-4.4,107.95
2019,8,Hydro,PRECTOTCORR,0.77,-4.4,107.95
2019,9,Hydro,PRECTOTCORR,0.59,-4.4,107.95
2019,10,Hydro,PRECTOTCORR,2.23,-4.4,107.95
2019,11,Hydro,PRECTOTCORR,3.48,-4.4,107.95
2019,12,Hydro,PRECTOTCORR,10.16,-4.4,107.95
2020,1,Hydro,PRECTOTCORR,8.94,-4.4,107.95
2020,2,Hydro,PRECTOTCORR,8.14,-4.4,107.95
2020,3,Hydro,PRECTOTCORR,8.41,-4.4,107.95
2020,4,Hydro,PRECTOTCORR,8.21,-4.4,107.95
2020,5,Hydro,PRECTOTCORR,8.26,-4.4,107.95
2020,6,Hydro,PRECTOTCORR,5.33,-4.4,107.95
2020,7,Hydro,PRECTOTCORR,5.99,-4.4,107.95
2020,8,Hydro,PRECTOTCORR,2.3,-4.4,107.95
2020,9,Hydro,PRECTOTCORR,5.89,-4.4,107.95
2020,10,Hydro,PRECTOTCORR,8.05,-4.4,107.95
2020,11,Hydro,PRECTOTCORR,13.69,-4.4,107.95
2020,12,Hydro,PRECTOTCORR,12.07,-4.4,107.95
