Tahun,Bulan,Kategori,Parameter_Cuaca,Nilai_Cuaca,Lat,Lon
2023,1,Hydro,PRECTOTCORR,7.79,-2.86,120.79
2023,2,Hydro,PRECTOTCORR,6.26,-2.86,120.79
2023,3,Hydro,PRECTOTCORR,10.26,-2.86,120.79
2023,4,Hydro,PRECTOTCORR,11.62,-2.86,120.79
2023,5,Hydro,PRECTOTCORR,10.87,-2.86,120.79
2023,6,Hydro,PRECTOTCORR,8.31,-2.86,120.79
2023,7,Hydro,PRECTOTCORR,4.67,-2.86,120.79
2023,8,Hydro,PRECTOTCORR,4.89,-2.86,120.79
2023,9,Hydro,PRECTOTCORR,4.09,-2.86,120.79
2023,10,Hydro,PRECTOTCORR,2.18,-2.86,120.79
2023,11,Hydro,PRECTOTCORR,8.77,-2.86,120.79
2023,12,Hydro,PRECTOTCORR,7.46,-2.86,120.79
2024,1,Hydro,PRECTOTCORR,13.69,-2.86,120.79
2024,2,Hydro,PRECTOTCORR,17.58,-2.86,120.79
2024,3,Hydro,PRECTOTCORR,10.32,-2.86,120.79
2024,4,Hydro,PRECTOTCORR,13.78,-2.86,120.79
2024,5,Hydro,PRECTOTCORR,18.76,-2.86,120.79
2024,6,Hydro,PRECTOTCORR,9.97,-2.86,120.79
2024,7,Hydro,PRECTOTCORR,20.03,-2.86,120.79
2024,8,Hydro,PRECTOTCORR,7.92,-2.86,120.79
2024,9,Hydro,PRECTOTCORR,3.59,-2.86,120.79
2024,10,Hydro,PRECTOTCORR,7.12,-2.86,120.79
2024,11,Hydro,PRECTOTCORR,11.22,-2.86,120.79
2024,12,Hydro,PRECTOTCORR,15.32,-2.86,120.79
2025,1,Hydro,PRECTOTCORR,11.22,-2.86,120.79
2025,2,Hydro,PRECTOTCORR,9.46,-2.86,120.79
2025,3,Hydro,PRECTOTCORR,8.68,-2.86,120.79
2025,4,Hydro,PRECTOTCORR,6.08,-2.86,120.79
2025,5,Hydro,PRECTOTCORR,7.77,-2.86,120.79
2025,6,Hydro,PRECTOTCORR,4.77,-2.86,120.79
2025,7,Hydro,PRECTOTCORR,4.28,-2.86,120.79
2025,8,Hydro,PRECTOTCORR,4.47,-2.86,120.79
2025,9,Hydro,PRECTOTCORR,4.01,-2.86,120.79
2025,10,Hydro,PRECTOTCORR,5.77,-2.86,120.79
2025,11,Hydro,PRECTOTCORR,5.97,-2.86,120.79
2025,12,Hydro,PRECTOTCORR,6.75,-2.86,120.79
2023,1,Solar,ALLSKY_SFC_SW_DWN,4.6603,-5.1,119.6
2023,2,Solar,ALLSKY_SFC_SW_DWN,4.0435,-5.1,119.6
2023,3,Solar,ALLSKY_SFC_SW_DWN,5.4113,-5.1,119.6
2023,4,Solar,ALLSKY_SFC_SW_DWN,5.201,-5.1,119.6
2023,5,Solar,ALLSKY_SFC_SW_DWN,5.0758,-5.1,119.6
2023,6,Solar,ALLSKY_SFC_SW_DWN,4.8571,-5.1,119.6
2023,7,Solar,ALLSKY_SFC_SW_DWN,5.2562,-5.1,119.6
2023,8,Solar,ALLSKY_SFC_SW_DWN,6.4481,-5.1,119.6
2023,9,Solar,ALLSKY_SFC_SW_DWN,6.9605,-5.1,119.6
2023,10,Solar,ALLSKY_SFC_SW_DWN,7.1374,-5.1,119.6
2023,11,Solar,ALLSKY_SFC_SW_DWN,6.1099,-5.1,119.6
2023,12,Solar,ALLSKY_SFC_SW_DWN,5.3573,-5.1,119.6
2024,1,Solar,ALLSKY_SFC_SW_DWN,4.1609,-5.1,119.6
2024,2,Solar,ALLSKY_SFC_SW_DWN,4.8742,-5.1,119.6
2024,3,Solar,ALLSKY_SFC_SW_DWN,4.9958,-5.1,119.6
2024,4,Solar,ALLSKY_SFC_SW_DWN,4.8538,-5.1,119.6
2024,5,Solar,ALLSKY_SFC_SW_DWN,5.1204,-5.1,119.6
2024,6,Solar,ALLSKY_SFC_SW_DWN,4.8667,-5.1,119.6
2024,7,Solar,ALLSKY_SFC_SW_DWN,5.177,-5.1,119.6
2024,8,Solar,ALLSKY_SFC_SW_DWN,6.1248,-5.1,119.6
2024,9,Solar,ALLSKY_SFC_SW_DWN,6.4303,-5.1,119.6
2024,10,Solar,ALLSKY_SFC_SW_DWN,6.4783,-5.1,119.6
2024,11,Solar,ALLSKY_SFC_SW_DWN,5.8406,-5.1,119.6
2024,12,Solar,ALLSKY_SFC_SW_DWN,3.4716,-5.1,119.6
2025,1,Solar,ALLSKY_SFC_SW_DWN,4.3742,-5.1,119.6
2025,2,Solar,ALLSKY_SFC_SW_DWN,4.5823,-5.1,119.6
2025,3,Solar,ALLSKY_SFC_SW_DWN,5.0162,-5.1,119.6
2025,4,Solar,ALLSKY_SFC_SW_DWN,5.1142,-5.1,119.6
2025,5,Solar,ALLSKY_SFC_SW_DWN,4.8307,-5.1,119.6
2025,6,Solar,ALLSKY_SFC_SW_DWN,4.1707,-5.1,119.6
2025,7,Solar,ALLSKY_SFC_SW_DWN,5.1602,-5.1,119.6
2025,8,Solar,ALLSKY_SFC_SW_DWN,5.7379,-5.1,119.6
2025,9,Solar,ALLSKY_SFC_SW_DWN,6.323,-5.1,119.6
2025,10,Solar,ALLSKY_SFC_SW_DWN,6.1704,-5.1,119.6
2025,11,Solar,ALLSKY_SFC_SW_DWN,4.9159,-5.1,119.6
2025,12,Solar,ALLSKY_SFC_SW_DWN,4.3922,-5.1,119.6
2023,1,Wind,WS10M,2.62,-4.64,119.82
2023,2,Wind,WS10M,2.76,-4.64,119.82
2023,3,Wind,WS10M,1.86,-4.64,119.82
2023,4,Wind,WS10M,1.82,-4.64,119.82
2023,5,Wind,WS10M,2.14,-4.64,119.82
2023,6,Wind,WS10M,2.28,-4.64,119.82
2023,7,Wind,WS10M,2.59,-4.64,119.82
2023,8,Wind,WS10M,3.38,-4.64,119.82
2023,9,Wind,WS10M,3.49,-4.64,119.82
2023,10,Wind,WS10M,3.02,-4.64,119.82
2023,11,Wind,WS10M,1.63,-4.64,119.82
2023,12,Wind,WS10M,1.7,-4.64,119.82
2024,1,Wind,WS10M,2.21,-4.64,119.82
2024,2,Wind,WS10M,1.89,-4.64,119.82
2024,3,Wind,WS10M,1.61,-4.64,119.82
2024,4,Wind,WS10M,1.46,-4.64,119.82
2024,5,Wind,WS10M,2.57,-4.64,119.82
2024,6,Wind,WS10M,2.48,-4.64,119.82
2024,7,Wind,WS10M,2.82,-4.64,119.82
2024,8,Wind,WS10M,3.27,-4.64,119.82
2024,9,Wind,WS10M,2.57,-4.64,119.82
2024,10,Wind,WS10M,2.17,-4.64,119.82
2024,11,Wind,WS10M,1.8,-4.64,119.82
2024,12,Wind,WS10M,2.46,-4.64,119.82
2025,1,Wind,WS10M,2.14,-4.64,119.82
2025,2,Wind,WS10M,2.11,-4.64,119.82
2025,3,Wind,WS10M,1.92,-4.64,119.82
