ID,Tanggal,Jenis_PLT,Produksi,Kapasitas,Cuaca
1,2023-01-01,PLT Hybrid,0.258,1.704,4.943
2,2023-01-01,PLTA,35.484,681.345,238.866
3,2023-01-01,PLTB,55.582,136.481,3.609
4,2023-01-01,PLTM,30.491,65.419,233.458
5,2023-01-01,PLTMH,18.824,39.66,232.464
6,2023-01-01,PLTS,0.974,5.68,5.952
7,2023-01-01,PLTS Atap,0.936,3.422,6.055
8,2023-02-01,PLT Hybrid,0.256,1.704,5.172
9,2023-02-01,PLTA,37.38,681.237,256.232
10,2023-02-01,PLTB,67.244,136.516,3.767
11,2023-02-01,PLTM,31.458,65.541,250.093
12,2023-02-01,PLTMH,20.195,39.66,253.116
13,2023-02-01,PLTS,0.948,5.699,6.267
14,2023-02-01,PLTS Atap,0.995,3.24,6.394
15,2023-03-01,PLT Hybrid,0.273,1.704,5.305
16,2023-03-01,PLTA,37.948,682.363,261.227
17,2023-03-01,PLTB,63.523,136.578,3.821
18,2023-03-01,PLTM,33.901,65.353,257.423
19,2023-03-01,PLTMH,19.985,39.66,254.448
20,2023-03-01,PLTS,0.99,5.664,6.206
21,2023-03-01,PLTS Atap,1.084,3.548,6.417
22,2023-04-01,PLT Hybrid,0.257,1.704,5.112
23,2023-04-01,PLTA,36.386,680.979,252.055
24,2023-04-01,PLTB,62.618,136.797,3.702
25,2023-04-01,PLTM,32.86,65.433,254.383
26,2023-04-01,PLTMH,19.24,39.66,246.859
27,2023-04-01,PLTS,0.986,5.622,6.257
28,2023-04-01,PLTS Atap,0.955,3.587,6.204
29,2023-05-01,PLT Hybrid,0.244,1.704,4.925
30,2023-05-01,PLTA,32.423,679.349,237.781
31,2023-05-01,PLTB,62.611,136.264,3.639
32,2023-05-01,PLTM,30.279,65.463,233.703
33,2023-05-01,PLTMH,18.457,39.66,233.233
34,2023-05-01,PLTS,0.92,5.679,5.856
35,2023-05-01,PLTS Atap,0.937,3.609,6.086
36,2023-06-01,PLT Hybrid,0.229,1.704,4.71
37,2023-06-01,PLTA,31.279,680.362,216.605
38,2023-06-01,PLTB,56.767,136.653,3.275
39,2023-06-01,PLTM,28.405,65.432,219.922
40,2023-06-01,PLTMH,17.009,39.66,216.599
41,2023-06-01,PLTS,0.806,5.654,5.503
42,2023-06-01,PLTS Atap,0.651,3.509,5.552
43,2023-07-01,PLT Hybrid,0.196,1.704,4.508
44,2023-07-01,PLTA,29.393,679.913,197.382
45,2023-07-01,PLTB,48.382,136.353,3.059
46,2023-07-01,PLTM,25.671,65.46,210.383
47,2023-07-01,PLTMH,15.436,39.66,202.294
48,2023-07-01,PLTS,0.747,5.685,5.198
49,2023-07-01,PLTS Atap,0.564,3.518,5.24
50,2023-08-01,PLT Hybrid,0.194,1.704,4.419
51,2023-08-01,PLTA,24.167,681.576,187.294
52,2023-08-01,PLTB,45.354,136.097,2.913
53,2023-08-01,PLTM,25.544,65.398,189.05
54,2023-08-01,PLTMH,13.838,39.66,189.245
55,2023-08-01,PLTS,0.707,5.654,4.967
56,2023-08-01,PLTS Atap,0.466,3.693,5.113
57,2023-09-01,PLT Hybrid,0.188,1.704,4.286
58,2023-09-01,PLTA,23.455,681.625,181.181
59,2023-09-01,PLTB,41.507,136.623,2.817
60,2023-09-01,PLTM,23.929,65.424,180.124
61,2023-09-01,PLTMH,14.113,39.66,180.439
62,2023-09-01,PLTS,0.682,5.643,4.807
