Tanggal,Tahun,Bulan,Jenis_PLT,Produksi_Prediksi
2026-01-01,2026,1,PLT Hybrid,0.21010977
2026-02-01,2026,2,PLT Hybrid,0.20816225
2026-03-01,2026,3,PLT Hybrid,0.21012254
2026-04-01,2026,4,PLT Hybrid,0.21166757
2026-05-01,2026,5,PLT Hybrid,0.21427666
2026-06-01,2026,6,PLT Hybrid,0.21474531
2026-07-01,2026,7,PLT Hybrid,0.21373607
2026-08-01,2026,8,PLT Hybrid,0.2139074
2026-09-01,2026,9,PLT Hybrid,0.21428594
2026-10-01,2026,10,PLT Hybrid,0.21456285
2026-11-01,2026,11,PLT Hybrid,0.21475534
2026-12-01,2026,12,PLT Hybrid,0.21476087
2027-01-01,2027,1,PLT Hybrid,0.21473417
2027-02-01,2027,2,PLT Hybrid,0.21479386
2027-03-01,2027,3,PLT Hybrid,0.21485049
2027-04-01,2027,4,PLT Hybrid,0.21488522
2027-05-01,2027,5,PLT Hybrid,0.21490307
2027-06-01,2027,6,PLT Hybrid,0.21490858
2027-07-01,2027,7,PLT Hybrid,0.2149155
2027-08-01,2027,8,PLT Hybrid,0.21492644
2027-09-01,2027,9,PLT Hybrid,0.21493442
2027-10-01,2027,10,PLT Hybrid,0.21493916
2027-11-01,2027,11,PLT Hybrid,0.21494198
2027-12-01,2027,12,PLT Hybrid,0.21494393
2028-01-01,2028,1,PLT Hybrid,0.21494588
2028-02-01,2028,2,PLT Hybrid,0.21494766
2028-03-01,2028,3,PLT Hybrid,0.21494886
2028-04-01,2028,4,PLT Hybrid,0.21494967
2028-05-01,2028,5,PLT Hybrid,0.21495022
2028-06-01,2028,6,PLT Hybrid,0.21495067
2028-07-01,2028,7,PLT Hybrid,0.21495104
2028-08-01,2028,8,PLT Hybrid,0.21495134
2028-09-01,2028,9,PLT Hybrid,0.21495155
2028-10-01,2028,10,PLT Hybrid,0.21495168
2028-11-01,2028,11,PLT Hybrid,0.2149518
2028-12-01,2028,12,PLT Hybrid,0.21495189
2026-01-01,2026,1,PLTA,41.746777
2026-02-01,2026,2,PLTA,42.16982
2026-03-01,2026,3,PLTA,38.609924
2026-04-01,2026,4,PLTA,32.92266
2026-05-01,2026,5,PLTA,28.625366
2026-06-01,2026,6,PLTA,28.011961
2026-07-01,2026,7,PLTA,29.163103
2026-08-01,2026,8,PLTA,29.640081
2026-09-01,2026,9,PLTA,30.857939
2026-10-01,2026,10,PLTA,32.06877
2026-11-01,2026,11,PLTA,32.709324
2026-12-01,2026,12,PLTA,32.74393
2027-01-01,2027,1,PLTA,32.543423
2027-02-01,2027,2,PLTA,32.32275
2027-03-01,2027,3,PLTA,32.021095
2027-04-01,2027,4,PLTA,31.789244
2027-05-01,2027,5,PLTA,31.690418
2027-06-01,2027,6,PLTA,31.696619
2027-07-01,2027,7,PLTA,31.748152
2027-08-01,2027,8,PLTA,31.814007
2027-09-01,2027,9,PLTA,31.881327
