Tanggal,Tahun,Bulan,Total_Produksi_EBT
2026-01-01,2026,1,150.23863
2026-02-01,2026,2,151.16641
2026-03-01,2026,3,145.12059
2026-04-01,2026,4,135.27922
2026-05-01,2026,5,128.34311
2026-06-01,2026,6,127.88644
2026-07-01,2026,7,130.24901
2026-08-01,2026,8,130.77135
2026-09-01,2026,9,132.42534
2026-10-01,2026,10,134.1642
2026-11-01,2026,11,135.11577
2026-12-01,2026,12,135.2009
2027-01-01,2027,1,134.95865
2027-02-01,2027,2,134.70476
2027-03-01,2027,3,134.308
2027-04-01,2027,4,133.98312
2027-05-01,2027,5,133.83362
2027-06-01,2027,6,133.8272
2027-07-01,2027,7,133.8817
2027-08-01,2027,8,133.95767
2027-09-01,2027,9,134.04431
2027-10-01,2027,10,134.10458
2027-11-01,2027,11,134.12872
2027-12-01,2027,12,134.12683
2028-01-01,2028,1,134.11235
2028-02-01,2028,2,134.09329
2028-03-01,2028,3,134.07542
2028-04-01,2028,4,134.06447
2028-05-01,2028,5,134.06088
2028-06-01,2028,6,134.06229
2028-07-01,2028,7,134.06613
2028-08-01,2028,8,134.07057
2028-09-01,2028,9,134.07416
2028-10-01,2028,10,134.07613
2028-11-01,2028,11,134.07658
2028-12-01,2028,12,134.07603
